strategy_id,year,global_contribution,m2_contribution,cash_yield_contribution,other_market_contribution,risk_timing_contribution,m2_selection_contribution,interaction_contribution,switching_contribution,cost_contribution,reconciliation_error,attribution_basis,policy_id,switch_mode,mechanism_attribution_method,strategy_switches,months_risk_score_0,months_risk_score_1,months_risk_score_2,months_risk_score_3,months_R1_BROAD_RISK_ON,months_R2_LEADERSHIP_RISK_ON,months_R3_ISOLATED_LEADERSHIP,months_R4_CAPITAL_PRESERVATION
GLOBAL_50_CASH50,2024,0.09829240792566134,0.0,0.02477308714995842,-5.551115123125783e-17,,,,,-0.00026850796271915556,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_50_CASH50,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,12,0,0,0,0,12,0,0
GLOBAL_50_CASH50,2025,0.06345542159412391,0.0,0.02066352251738253,2.1094237467877974e-15,,,,,-0.0002704104873847424,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_50_CASH50,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,1,3,1,0,8,4,0
GLOBAL_50_CASH50,2026,0.055037817377435266,0.0,0.01166624613833999,-4.0939474033052647e-16,,,,,-0.00015982677130232936,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_50_CASH50,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,1,0,0,0,8,0,0
M2_TOP7_CASH0_100,2017,0.0,0.04870180804547942,0.0,-6.938893903907228e-18,,,,,-0.0028389337342145105,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,11,0,0,0,1,10,0,0
M2_TOP7_CASH0_100,2018,0.0,-0.07100518680880469,0.0,-2.7755575615628914e-16,,,,,-0.005677185688497288,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,2,1,2,1,8,1,2
M2_TOP7_CASH0_100,2019,0.0,0.16839413155513497,0.0,1.1934897514720433e-15,,,,,-0.011536766993284542,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,9,1,2,0,1,9,2,0
M2_TOP7_CASH0_100,2020,0.0,0.3023342041212571,0.0,-1.1102230246251565e-15,,,,,-0.01009459013352243,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,2,4,4,2,0,6,5,1
M2_TOP7_CASH0_100,2021,0.0,0.2223396384787559,0.0,1.0269562977782698e-15,,,,,-0.012213710040015147,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,12,0,0,0,0,12,0,0
M2_TOP7_CASH0_100,2022,0.0,-0.12134262360441667,0.0,1.8318679906315083e-15,,,,,-0.01387206710031974,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,0,6,5,1,2,4,4,2
M2_TOP7_CASH0_100,2023,0.0,0.17345615211670934,0.0,1.942890293094024e-15,,,,,-0.012266080076540509,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,5,0,0,2,10,0,0
