policy_id,window_id,cost_scenario,immediate_cagr,hysteresis_cagr,immediate_mdd,hysteresis_mdd,immediate_ulcer,hysteresis_ulcer,immediate_switches,hysteresis_switches,false_switches_avoided,reentry_delay_cost,status
POLICY_1_RISK_TIMING_ONLY,PRE_2020,BASE,0.03914658618961386,0.02755074479399333,-0.14952004517221917,-0.1495200451722194,0.05139969779347525,0.053905763421732526,3.166842485549133,2.6390354046242774,,-0.011595841395620532,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_1_RISK_TIMING_ONLY,PRE_2020,DOUBLE,0.036919396732763454,0.025317732680890437,-0.14952004517221884,-0.14952004517221917,0.05223502189444892,0.05477157743342351,3.166842485549133,2.6390354046242774,,-0.011601664051873017,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_1_RISK_TIMING_ONLY,POST_2020,BASE,0.09465722962540979,0.09170311723677993,-0.1752895191558438,-0.17528991808858474,0.06188610941076988,0.059999443521593906,3.166842485549133,2.6390354046242774,,-0.0029541123886298593,HYSTERESIS_RETAINS_95PCT
POLICY_1_RISK_TIMING_ONLY,POST_2020,DOUBLE,0.09262375980480986,0.0897852792892706,-0.17612761529644028,-0.17612842183140676,0.06355304544100389,0.061327977948896106,3.166842485549133,2.6390354046242774,,-0.0028384805155392545,HYSTERESIS_RETAINS_95PCT
POLICY_1_RISK_TIMING_ONLY,LATEST_FIVE_YEARS,BASE,0.09168323943506151,0.08949838870607252,-0.13888681857179197,-0.13888704947827735,0.05586338521913966,0.051757706881756745,3.166842485549133,2.6390354046242774,,-0.0021848507289889962,HYSTERESIS_RETAINS_95PCT
POLICY_1_RISK_TIMING_ONLY,LATEST_FIVE_YEARS,DOUBLE,0.08966485525994394,0.08765124907479449,-0.13975741619725734,-0.13975787445058097,0.057741168711679634,0.053153440794453034,3.166842485549133,2.6390354046242774,,-0.0020136061851494524,HYSTERESIS_RETAINS_95PCT
POLICY_1_RISK_TIMING_ONLY,LATEST_THREE_YEARS,BASE,0.16401256950522902,0.15535167391362603,-0.13888681857179197,-0.13888704947827746,0.037184217312862214,0.03827808510818936,3.166842485549133,2.6390354046242774,,-0.00866089559160299,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_1_RISK_TIMING_ONLY,LATEST_THREE_YEARS,DOUBLE,0.16244885461879033,0.15377760992659528,-0.13975741619725734,-0.13975787445058097,0.037703683077137375,0.03880715573185954,3.166842485549133,2.6390354046242774,,-0.008671244692195046,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_2_ALPHA_TIMING_ONLY,FULL_COMMON_HISTORY,BASE,0.11659430939178739,0.11711261379145799,-0.24503327939915098,-0.24503287963988363,0.05278971226074617,0.05188056157853023,2.005666907514451,1.3722984104046243,,0.0005183043996705994,HYSTERESIS_RETAINS_95PCT
POLICY_2_ALPHA_TIMING_ONLY,FULL_COMMON_HISTORY,DOUBLE,0.1103613086219637,0.11195355985644562,-0.24525066609260682,-0.2452491791924173,0.055156774053002525,0.05326592287280553,2.005666907514451,1.3722984104046243,,0.0015922512344819229,HYSTERESIS_RETAINS_95PCT
POLICY_2_ALPHA_TIMING_ONLY,PRE_2020,BASE,0.06433093217510866,0.0659044429482798,-0.14628390343414843,-0.15336435413144922,0.042524467102116326,0.04332084290625907,2.005666907514451,1.3722984104046243,,0.0015735107731711384,HYSTERESIS_RETAINS_95PCT
POLICY_2_ALPHA_TIMING_ONLY,PRE_2020,DOUBLE,0.05817802809792494,0.061037177953492616,-0.14840275865224783,-0.1545153101883575,0.04393921803303136,0.04414397365856172,2.005666907514451,1.3722984104046243,,0.0028591498555676775,HYSTERESIS_RETAINS_95PCT
POLICY_2_ALPHA_TIMING_ONLY,POST_2020,BASE,0.1378151250645554,0.13785105539165854,-0.24503327939915098,-0.24503287963988363,0.05630650559138459,0.054932706086464375,2.005666907514451,1.3722984104046243,,3.59303271031397e-05,HYSTERESIS_RETAINS_95PCT
POLICY_2_ALPHA_TIMING_ONLY,POST_2020,DOUBLE,0.1316266207187129,0.1326384166078156,-0.24525066609260682,-0.2452491791924173,0.058976087879746696,0.056504349552560985,2.005666907514451,1.3722984104046243,,0.001011795889102718,HYSTERESIS_RETAINS_95PCT
POLICY_2_ALPHA_TIMING_ONLY,LATEST_FIVE_YEARS,BASE,0.11982151259839058,0.12149095160745871,-0.176620042588576,-0.17661951912200657,0.05497543693636156,0.05291819180482394,2.005666907514451,1.3722984104046243,,0.00166943900906813,HYSTERESIS_RETAINS_95PCT
POLICY_2_ALPHA_TIMING_ONLY,LATEST_FIVE_YEARS,DOUBLE,0.11348734710622121,0.11635836500830976,-0.17717200501683816,-0.1771686352256724,0.058361267790761444,0.05488750808738882,2.005666907514451,1.3722984104046243,,0.0028710179020885462,HYSTERESIS_RETAINS_95PCT
POLICY_2_ALPHA_TIMING_ONLY,LATEST_THREE_YEARS,BASE,0.2137446714648461,0.21374954252696354,-0.1766200425885759,-0.17661951912200657,0.034182110532920924,0.034181827755490446,2.005666907514451,1.3722984104046243,,4.871062117439706e-06,HYSTERESIS_RETAINS_95PCT
POLICY_2_ALPHA_TIMING_ONLY,LATEST_THREE_YEARS,DOUBLE,0.20783823539692836,0.2078694259258418,-0.17717200501683816,-0.17716863522567228,0.03450249696396463,0.03450064727266791,2.005666907514451,1.3722984104046243,,3.119052891342733e-05,HYSTERESIS_RETAINS_95PCT
POLICY_3_BALANCED_REGIME_STRATEGY,FULL_COMMON_HISTORY,BASE,0.08031004112104712,0.07392510023507937,-0.1687668671790422,-0.1687704707594745,0.0616727764885476,0.060528981853551905,4.328018063583815,3.4835267341040463,,-0.006384940885967749,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_3_BALANCED_REGIME_STRATEGY,FULL_COMMON_HISTORY,DOUBLE,0.07352313959235945,0.06787421759379075,-0.16978025512226935,-0.16978708406603515,0.06512558580577825,0.0637035711548833,4.328018063583815,3.4835267341040463,,-0.005648921998568701,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_3_BALANCED_REGIME_STRATEGY,PRE_2020,BASE,0.02679763721213746,0.015842265549133483,-0.146301328855712,-0.154235938900547,0.05415373661366208,0.05920180478829708,4.328018063583815,3.4835267341040463,,-0.010955371663003977,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_3_BALANCED_REGIME_STRATEGY,PRE_2020,DOUBLE,0.0202874223795928,0.010176616748847511,-0.1484385225349466,-0.15869297471293986,0.05663575826953854,0.06357288767516328,4.328018063583815,3.4835267341040463,,-0.01011080563074529,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_3_BALANCED_REGIME_STRATEGY,POST_2020,BASE,0.10214774925425618,0.09787560975407517,-0.16876686717904232,-0.1687704707594745,0.06438175277895822,0.0610493893979901,4.328018063583815,3.4835267341040463,,-0.004272139500181016,HYSTERESIS_RETAINS_95PCT
POLICY_3_BALANCED_REGIME_STRATEGY,POST_2020,DOUBLE,0.0953166297765431,0.09173002158927956,-0.16978025512226946,-0.16978708406603504,0.06816663050305613,0.06374096299234286,4.328018063583815,3.4835267341040463,,-0.003586608187263529,HYSTERESIS_RETAINS_95PCT
POLICY_3_BALANCED_REGIME_STRATEGY,LATEST_FIVE_YEARS,BASE,0.09948347977686378,0.09684846045356688,-0.14172640052825025,-0.12702712726782484,0.06292160878237871,0.057290040197938076,4.328018063583815,3.4835267341040463,,-0.0026350193232969055,HYSTERESIS_RETAINS_95PCT
