policy_id,switch_mode,window_id,cost_scenario,gross_cagr,net_cagr,cost_drag,terminal_wealth_per_100k,excess_vs_global,maximum_drawdown,ulcer_index,calmar,sortino,annualised_volatility,longest_underwater_days,turnover,trade_legs,average_global_weight,average_m2_weight,average_cash_weight,annual_strategy_changes,annual_rebalance_events,return_retention,promotion_status,return_gate,drawdown_gate,matched_risk_gate,regime_gate,exclude_2025_gate,double_cost_gate,family_gate,threshold_gate,hysteresis_gate,all_mandatory_gates,positive_regimes,positive_episodes,largest_positive_episode_share,eligible_for_selection
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,FULL_COMMON_HISTORY,BASE,0.0752953077642804,0.07327671492912091,0.002018592835159483,195405.53591551242,-0.04273411736413446,-0.17528991808858485,0.058245043663012926,0.4180315429897665,0.8475830928097053,0.11182785447111167,728,1.008279512621922,52,0.8195652173913044,0.0,0.18043478260869567,2.6390354046242774,5.489193641618497,0.6316368349456369,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,True,False,2.0,11.0,0.3033731026148029,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,PRE_2020,BASE,0.02978577763848622,0.02755074479399333,0.00223503284449289,108005.86720396767,-0.05320332245900827,-0.1495200451722194,0.053905763421732526,0.18426121234955473,0.3067718835929858,0.11404746178836028,334,1.4076271020926587,12,0.8195652173913044,0.0,0.18043478260869567,2.6390354046242774,5.489193641618497,0.34116850991142217,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,True,False,2.0,11.0,0.3033731026148029,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,POST_2020,BASE,0.09362083604353977,0.09170311723677993,0.0019177188067598383,178971.39847394993,-0.037972115704693055,-0.17528991808858474,0.059999443521593906,0.5231511215062393,1.0793638537181072,0.11084012242845624,728,0.8385278840305194,40,0.8195652173913044,0.0,0.18043478260869567,2.6390354046242774,5.489193641618497,0.7071752651346213,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,True,False,2.0,11.0,0.3033731026148029,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_FIVE_YEARS,BASE,0.09134528323249591,0.08949838870607252,0.0018468945264233927,153105.2737716102,-0.025666159506841257,-0.13888704947827735,0.051757706881756745,0.6443969329197287,1.1491037159104316,0.1058444599858497,728,0.8137074633516389,28,0.8195652173913044,0.0,0.18043478260869567,2.6390354046242774,5.489193641618497,0.7771348917256184,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,True,False,2.0,11.0,0.3033731026148029,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_THREE_YEARS,BASE,0.1569255471059412,0.15535167391362603,0.0015738731923151672,154237.28913510134,-0.03147174970874933,-0.13888704947827746,0.03827808510818936,1.1185468659403246,2.02873131760598,0.10337149214227892,274,0.6662875984472224,9,0.8195652173913044,0.0,0.18043478260869567,2.6390354046242774,5.489193641618497,0.8315428060436205,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,True,False,2.0,11.0,0.3033731026148029,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,FULL_COMMON_HISTORY,DOUBLE,0.07529530776428128,0.07125863003975152,0.004036677724529758,191952.4912314306,-0.04475220225350385,-0.17612842183140676,0.059444074986677774,0.40458336762911296,0.824336679771578,0.11180615738559443,731,1.008279512621922,52,0.8195652173913044,0.0,0.18043478260869567,2.6390354046242774,5.489193641618497,0.6142411758552166,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,True,False,2.0,11.0,0.3033731026148029,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,PRE_2020,DOUBLE,0.029785777638486444,0.025317732680890437,0.004468044957596007,107342.08053042335,-0.05543633457211117,-0.14952004517221917,0.05477157743342351,0.16932667891939931,0.28197135602923745,0.11407974966730615,334,1.4076271020926587,12,0.8195652173913044,0.0,0.18043478260869567,2.6390354046242774,5.489193641618497,0.31351650191897157,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,True,False,2.0,11.0,0.3033731026148029,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,POST_2020,DOUBLE,0.09362083604353955,0.0897852792892706,0.003835556754268943,176895.93820690343,-0.03988995365220238,-0.17612842183140676,0.061327977948896106,0.5097716674893883,1.0568659874802548,0.11079433276310899,731,0.8385278840305193,40,0.8195652173913044,0.0,0.18043478260869567,2.6390354046242774,5.489193641618497,0.6923857181717489,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,True,False,2.0,11.0,0.3033731026148029,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_FIVE_YEARS,DOUBLE,0.0913452832324968,0.08765124907479449,0.0036940341577023084,151819.69913857867,-0.027513299138119285,-0.13975787445058097,0.053153440794453034,0.6271650124858502,1.1258212087483381,0.10581728599963498,731,0.8137074633516389,28,0.8195652173913044,0.0,0.18043478260869567,2.6390354046242774,5.489193641618497,0.7610957576349513,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,True,False,2.0,11.0,0.3033731026148029,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_THREE_YEARS,DOUBLE,0.15692554710594098,0.15377760992659528,0.0031479371793456945,153607.58756948798,-0.03304581369578008,-0.13975787445058097,0.03880715573185954,1.1003144583525544,2.0102683200761193,0.10330148813618889,274,0.6662875984472223,9,0.8195652173913044,0.0,0.18043478260869567,2.6390354046242774,5.489193641618497,0.8231173958005645,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,True,False,2.0,11.0,0.3033731026148029,True
