candidate_id,comparator_id,window_id,cost_scenario,incremental_cagr,incremental_terminal_wealth,incremental_mdd,incremental_ulcer,incremental_turnover,incremental_cost,exclude_2025_incremental_cagr,double_cost_incremental_cagr,family_exclusion_status,leave_one_family_minimum_incremental_cagr,leave_one_family_sign_reversal_count,exclude_top_1_family_incremental_cagr,exclude_top_3_family_incremental_cagr,exclude_top_5_family_incremental_cagr
GLOBAL_50_M2_50,GLOBAL_100,FULL_COMMON_HISTORY,BASE,0.008035260483940654,19892.040427758475,0.01966599692526816,0.009998140525720761,2.7860826800379646,0.007665595787035295,0.0005890310294274226,0.00034508815829159545,STATIC_FAMILY_GATE_PASS,0.0008373407560811064,0,0.0015228290277169432,-0.021781887566394875,-0.025268416284334627
GLOBAL_50_M2_50,GLOBAL_100,PRE_2020,BASE,-0.022569506749434254,-7234.031225494255,0.006170973865197382,0.0012074769416582434,1.5900889877646112,0.005019843222473508,0.0005890310294274226,-0.02759305287782654,STATIC_FAMILY_GATE_PASS,0.0008373407560811064,0,0.0015228290277169432,-0.021781887566394875,-0.025268416284334627
GLOBAL_50_M2_50,GLOBAL_100,POST_2020,BASE,0.022000170315547463,30550.746300533763,0.01966599692526827,0.012269075113833489,3.3006209622605223,0.008760034395644434,0.0005890310294274226,0.0132079134726093,STATIC_FAMILY_GATE_PASS,0.0008373407560811064,0,0.0015228290277169432,-0.021781887566394875,-0.025268416284334627
GLOBAL_50_M2_50,GLOBAL_100,LATEST_FIVE_YEARS,BASE,0.011636724965345513,9099.60233771929,0.013214137145212912,0.02083229551535084,3.5432355342407202,0.009069881213870312,0.0005890310294274226,0.0025328378051376887,STATIC_FAMILY_GATE_PASS,0.0008373407560811064,0,0.0015228290277169432,-0.021781887566394875,-0.025268416284334627
GLOBAL_50_M2_50,GLOBAL_100,LATEST_THREE_YEARS,BASE,0.05452841145868459,24126.15415154473,0.013214137145212801,7.525831669052269e-05,3.8193341139534387,0.010648756810000215,0.0005890310294274226,0.04384287936636233,STATIC_FAMILY_GATE_PASS,0.0008373407560811064,0,0.0015228290277169432,-0.021781887566394875,-0.025268416284334627
GLOBAL_50_M2_25_CASH25,GLOBAL_75_CASH25,FULL_COMMON_HISTORY,BASE,0.0036119372471656863,7350.559587236872,0.01113375886629453,0.002873413172555385,1.3612344797295004,0.0042781790806931674,0.0031657266366782455,-0.000698679262348012,STATIC_FAMILY_GATE_PASS,0.00012417313264689867,0,0.0003850488924528328,-0.011023299382070029,-0.01266309713448699
GLOBAL_50_M2_25_CASH25,GLOBAL_75_CASH25,PRE_2020,BASE,-0.011765810211624483,-3687.376112236685,0.002929443198951276,0.00022542658000669277,0.7704157540474847,0.0030764494222548233,0.0031657266366782455,-0.014849916462312152,STATIC_FAMILY_GATE_PASS,0.00012417313264689867,0,0.0003850488924528328,-0.011023299382070029,-0.01266309713448699
GLOBAL_50_M2_25_CASH25,GLOBAL_75_CASH25,POST_2020,BASE,0.010462363810706643,12421.903709283215,0.011133758866294419,0.003481733122802172,1.615423346754999,0.00475082788780834,0.0031657266366782455,0.0056683757184525785,STATIC_FAMILY_GATE_PASS,0.00012417313264689867,0,0.0003850488924528328,-0.011023299382070029,-0.01266309713448699
GLOBAL_50_M2_25_CASH25,GLOBAL_75_CASH25,LATEST_FIVE_YEARS,BASE,0.005634204771391094,4063.659136688395,0.007456823897419085,0.007885640868491806,1.740605919080376,0.004927151101042915,0.0031657266366782455,0.0006593099760485721,STATIC_FAMILY_GATE_PASS,0.00012417313264689867,0,0.0003850488924528328,-0.011023299382070029,-0.01266309713448699
GLOBAL_50_M2_25_CASH25,GLOBAL_75_CASH25,LATEST_THREE_YEARS,BASE,0.026159352077885556,10628.082753019145,0.007456823897418974,-0.0009554756653971444,1.8830973172185057,0.005556082132805562,0.0031657266366782455,0.020547893910496384,STATIC_FAMILY_GATE_PASS,0.00012417313264689867,0,0.0003850488924528328,-0.011023299382070029,-0.01266309713448699
GLOBAL_75_M2_10_CASH15,GLOBAL_85_CASH15,FULL_COMMON_HISTORY,BASE,0.0007820782142171634,1692.12342708715,0.0043424176566853046,-0.00017977978564746866,0.5477588627397446,0.002457202921488655,0.006673158041191396,-0.0017013414214936962,STATIC_FAMILY_GATE_FAIL,-0.0006013910271955858,2,-0.0005113283103486133,-0.005104095315783264,-0.005730979933580738
GLOBAL_75_M2_10_CASH15,GLOBAL_85_CASH15,PRE_2020,BASE,-0.005596927322632839,-1785.953521264557,0.0009603529775492614,4.686113529683844e-05,0.31166411261997207,0.0021180066803767605,0.006673158041191396,-0.007724753876849677,STATIC_FAMILY_GATE_FAIL,-0.0006013910271955858,2,-0.0005113283103486133,-0.005104095315783264,-0.005730979933580738
