strategy_id,regime,months,episodes,average_episode_months,mean_monthly_return,median_monthly_return,annualised_return,realised_volatility,sharpe,sortino,positive_month_frequency,worst_month,average_episode_return,worst_episode_return,episode_mdd,forward_1m_return,forward_3m_return,forward_6m_return,excess_vs_global,excess_vs_equal_pool,sample_status,warning,risk_score_substate,summary_level,m2_minus_global,cash_minus_risky,differential_basis
GLOBAL_0_M2_100,R1_BROAD_RISK_ON,7,6,1.1666666666666667,0.010821880025311545,-0.005470906476852888,0.1308044144194338,0.12325197291522819,1.0536347389185978,6.334894168513382,0.42857142857142855,-0.01971727110479804,0.012672828345982934,-0.033827435768195246,-0.014393974562113998,0.010821880025311545,0.026139690704517844,0.04283672707116632,0.0029651847105742757,0.005234425138859538,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.03819157416001362,-0.07113999430349116,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_50_M2_25_CASH25,R2_LEADERSHIP_RISK_ON,86,11,7.818181818181818,0.0059300952598217195,0.006637770059810255,0.07003711617969488,0.08150224114114875,0.8731188507395887,1.3863194805554149,0.6046511627906976,-0.05566575212386149,0.05050570346680163,-0.05257702921886376,-0.06047738573422923,0.0059300952598217195,0.019126431465046483,0.03961938117705284,-0.0009455231584337401,-0.0008419901849900522,REGIME_SAMPLE_SUFFICIENT,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.01804801428204228,-0.05799728144379457,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_50_M2_25_CASH25,R3_ISOLATED_LEADERSHIP,16,8,2.0,0.008137196159701085,0.01751320631530695,0.0917316951913072,0.14082714320025402,0.6933773681509778,0.661931705038043,0.75,-0.10491953274899168,0.017051873801700118,-0.10491953274899168,-0.046666773735598466,0.008137196159701085,0.0429726862860188,0.08984425940595273,-0.002631479999746174,-0.005167015430453802,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,-0.01634162382922688,-0.10327265645248196,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_50_M2_25_CASH25,R4_CAPITAL_PRESERVATION,5,5,1.0,0.045504327960282254,0.03628569820305172,0.7014942184193029,0.08324087727217568,6.559901257863266,,1.0,0.032741219059468474,0.045504327960282254,0.032741219059468474,0.0,0.045504327960282254,0.0698496377431026,0.10818161044626562,-0.01432098195174083,-0.01442258938164893,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.05013768510080485,-0.9927561463321675,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_50_M2_50,R1_BROAD_RISK_ON,7,6,1.1666666666666667,0.009249901741549429,-0.0076343495584764165,0.11078337282547879,0.1147009060928876,0.9677240109045309,5.026790915970942,0.42857142857142855,-0.022149965564903673,0.010804748286711185,-0.022149965564903673,-0.010371221387574736,0.009249901741549429,0.022899455161483347,0.04510448860175652,0.001393206426812161,0.003662446855097423,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.03819157416001362,-0.07113999430349116,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_50_M2_50,R2_LEADERSHIP_RISK_ON,86,11,7.818181818181818,0.0076558484504674435,0.007682222116211057,0.0890574601380083,0.11276667534464745,0.8146926485579854,1.395119969634212,0.6046511627906976,-0.0774720028755912,0.06724597325962245,-0.06605697596817228,-0.07999476470025912,0.0076558484504674435,0.02427834051304411,0.050710511345629726,0.0007802300322119843,0.0008837630056556723,REGIME_SAMPLE_SUFFICIENT,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.01804801428204228,-0.05799728144379457,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_50_M2_50,R3_ISOLATED_LEADERSHIP,16,8,2.0,0.010327235345817233,0.025063703462298026,0.11138826531185542,0.1921142349441999,0.6450684103955215,0.664784765333772,0.6875,-0.13486809264918898,0.022141260125838363,-0.13486809264918898,-0.07194793455057791,0.010327235345817233,0.05792315755188122,0.1263826636689978,-0.00044144081363002574,-0.0029769762443376535,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,-0.01634162382922688,-0.10327265645248196,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_50_M2_50,R4_CAPITAL_PRESERVATION,5,5,1.0,0.061082722943237314,0.0470221160690254,1.0261941486202106,0.12397055627682936,5.912635204137156,,1.0,0.034563419334169065,0.061082722943237314,0.034563419334169065,0.0,0.061082722943237314,0.09535103200497226,0.1444469786374854,0.0012574130312142274,0.0011558056013061258,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.05013768510080485,-0.9927561463321675,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_75_CASH25,R1_BROAD_RISK_ON,7,6,1.1666666666666667,0.006314445960519444,0.0020091576499521313,0.0752494848832228,0.08440849192845072,0.8976982030488468,2.4679249016241034,0.5714285714285714,-0.021512940491416166,0.007364136309005583,-0.021512940491416166,-0.0037867719493981378,0.006314445960519444,0.01614218926567728,0.03862566425323931,-0.0015422493542178253,0.0007269910740674369,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.03819157416001362,-0.07113999430349116,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_75_CASH25,R2_LEADERSHIP_RISK_ON,86,11,7.818181818181818,0.005583777872164069,0.007762647752452612,0.06573755658662561,0.08004960265437959,0.8370476834878192,1.2193120565191389,0.6395348837209303,-0.05873432445907811,0.04651457689461387,-0.05873432445907811,-0.06199018762049224,0.005583777872164069,0.018757396450509185,0.03829340684595783,-0.0012918405460913907,-0.0011883075726477027,REGIME_SAMPLE_SUFFICIENT,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.01804801428204228,-0.05799728144379457,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_75_CASH25,R3_ISOLATED_LEADERSHIP,16,8,2.0,0.008369676659901341,0.017985983460041544,0.09518016980917032,0.13714645822436797,0.7323274783699135,0.6010480589730809,0.75,-0.11232335640970259,0.01739013399969913,-0.11232335640970259,-0.03380233251059772,0.008369676659901341,0.040531946183639436,0.07899825822734871,-0.0023989994995459174,-0.004934534930253545,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,-0.01634162382922688,-0.10327265645248196,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
