policy_id,switch_mode,volatility_percentile,leadership_quantile,candidate_threshold,net_cagr,maximum_drawdown,ulcer_index,incremental_vs_matched_control,directionally_coherent
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,0.75,0.6,False,0.07236143099872017,-0.16877056327100082,0.06079930225710121,-0.026790040980914087,False
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,0.75,0.6,False,0.06674054940446394,-0.14798688413918692,0.06779300899545208,-0.03086622170391129,False
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,0.75,0.6,False,0.05758405370690789,-0.17390851319141565,0.07539289043772754,-0.03593861737539772,False
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,0.8,0.4,False,0.07922633852771455,-0.1752895182669233,0.060515536911955055,-0.023979019669539525,False
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,0.8,0.4,False,0.07436664535764814,-0.17528979638982345,0.05948048173826844,-0.025799815227727674,False
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,0.8,0.4,False,0.11700851063659101,-0.24503294609476023,0.05258804897578603,0.0009976783433356395,True
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,0.8,0.4,False,0.11682454581309565,-0.24503311128091232,0.051864593328623414,0.0008137135198402756,True
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,0.8,0.4,False,0.08089358415074388,-0.16876678349724084,0.06375685009444333,-0.02231177404651019,False
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,0.8,0.4,False,0.0750022496907492,-0.16876952920076616,0.06219991922161796,-0.025164210894626615,False
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,0.8,0.4,False,0.06819028380568448,-0.16203703890234133,0.07095387563298117,-0.030758069984798242,False
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,0.8,0.4,False,0.060691514992486706,-0.16312660091901254,0.07300996172375251,-0.034177962239261284,False
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,0.8,0.5,False,0.07922633852771455,-0.1752895182669233,0.060515536911955055,-0.023979019669539525,False
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,0.8,0.5,False,0.07436664535764814,-0.17528979638982345,0.05948048173826844,-0.025799815227727674,False
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,0.8,0.5,False,0.11659430939178739,-0.24503327939915098,0.05278971226074617,0.0005834770985320148,True
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,0.8,0.5,False,0.11711261379145799,-0.24503287963988363,0.05188056157853023,0.0011017814982026142,True
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,0.8,0.5,False,0.08084999969699891,-0.16876682768820128,0.0638673409715977,-0.022355358500255162,False
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,0.8,0.5,False,0.07512250048258129,-0.16876940375889293,0.062213982345756924,-0.025043960102794527,False
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,0.8,0.5,False,0.06819028380568448,-0.16203703890234133,0.07095387563298117,-0.030758069984798242,False
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,0.8,0.5,False,0.060691514992486706,-0.16312660091901254,0.07300996172375251,-0.034177962239261284,False
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,0.8,0.6,False,0.07922633852771455,-0.1752895182669233,0.060515536911955055,-0.023979019669539525,False
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,0.8,0.6,False,0.07436664535764814,-0.17528979638982345,0.05948048173826844,-0.025799815227727674,False
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,0.8,0.6,False,0.11684055267711257,-0.24503309249615224,0.0512015351040664,0.000829720383857202,True
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,0.8,0.6,False,0.11559175432641222,-0.24503286113932354,0.051939429856981,-0.000419077966843151,True
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,0.8,0.6,False,0.08031847818618365,-0.16876681554921702,0.06282657693051104,-0.02288688001107042,False
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,0.8,0.6,False,0.07355630050163975,-0.1687694956074508,0.06232295026960512,-0.026610160083736067,False
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,0.8,0.6,False,0.06752364301403246,-0.1561233070254635,0.07023012158720854,-0.03142471077645026,False
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,0.8,0.6,False,0.059151706433052675,-0.1641351056767173,0.07339840243080524,-0.035717770798695314,False
