strategy_id,window_id,cost_scenario,global_weight,m2_weight,cash_weight,net_cagr,terminal_wealth_per_100k,maximum_drawdown,ulcer_index,longest_underwater_days,annualised_volatility,turnover,cost_drag,pareto_efficient
GLOBAL_50_CASH50,FULL_COMMON_HISTORY,BASE,0.5,0.0,0.5,0.06888489593246283,187960.8390527814,-0.1327498682023922,0.02330862667676019,419,0.07231132496662697,0.13566677035622013,0.00033824510256108553,True
GLOBAL_50_CASH50,PRE_2020,BASE,0.5,0.0,0.5,0.043643790348323996,112868.37177905395,-0.07451114671967518,0.019946844984697606,237,0.06359996383744716,0.25236115048812846,0.00034442213617835726,False
GLOBAL_50_CASH50,POST_2020,BASE,0.5,0.0,0.5,0.07902264128630332,165623.90659689053,-0.1327498682023921,0.02460274180211362,419,0.07572589065794048,0.0859319994541101,0.00033121518047063425,False
GLOBAL_50_CASH50,LATEST_FIVE_YEARS,BASE,0.5,0.0,0.5,0.07577410185649702,143757.86879098797,-0.0913321970515617,0.021149230920150044,419,0.06663153796317337,0.07698722059100589,0.0003002220068242245,False
GLOBAL_50_CASH50,LATEST_THREE_YEARS,BASE,0.5,0.0,0.5,0.11468178253036232,138512.15577726922,-0.0913321970515617,0.016367911757419716,179,0.05945918781063152,0.07147066786232276,0.00029240631328342204,False
GLOBAL_50_CASH50,FULL_COMMON_HISTORY,DOUBLE,0.5,0.0,0.5,0.0685459572549405,187396.9820286038,-0.1327879235541256,0.023373502367001274,419,0.07231081420594901,0.13566677035622016,0.0006771837800829683,False
GLOBAL_50_CASH50,PRE_2020,DOUBLE,0.5,0.0,0.5,0.043298936660664644,112762.71866519972,-0.07463044437072419,0.020007318871054013,237,0.06359662816672067,0.25236115048812835,0.0006892758238374874,False
GLOBAL_50_CASH50,POST_2020,DOUBLE,0.5,0.0,0.5,0.07869062352335887,165286.11451365685,-0.13278792355412583,0.02466949664139945,419,0.07572663561065188,0.0859319994541102,0.0006632329434139717,False
GLOBAL_50_CASH50,LATEST_FIVE_YEARS,DOUBLE,0.5,0.0,0.5,0.07547304055253434,143558.0577015314,-0.09140496636409157,0.021225362707430865,419,0.06662944033347823,0.07698722059100604,0.000601283310785794,False
GLOBAL_50_CASH50,LATEST_THREE_YEARS,DOUBLE,0.5,0.0,0.5,0.1143884855850763,138402.82071605982,-0.09140496636409157,0.01639291139485659,179,0.05945512152185983,0.07147066786232285,0.0005857032585683264,False
GLOBAL_75_CASH25,FULL_COMMON_HISTORY,BASE,0.75,0.0,0.25,0.0926320318380296,231456.6219732292,-0.19551631373842515,0.0359925415591835,550,0.10884007993521362,0.14125588705592645,0.0002876661858206564,True
GLOBAL_75_CASH25,PRE_2020,BASE,0.75,0.0,0.25,0.062333574722056584,118690.62582437434,-0.11225530170625142,0.03042065402250737,237,0.09561037600023796,0.32156704252370544,0.0003070275171557224,False
GLOBAL_75_CASH25,POST_2020,BASE,0.75,0.0,0.25,0.10455889357223369,193425.08315635956,-0.19551631373842504,0.03812175462497305,550,0.11402689168959607,0.06435141568364448,0.0002751738077746424,False
GLOBAL_75_CASH25,LATEST_FIVE_YEARS,BASE,0.75,0.0,0.25,0.09557838132948948,157398.38200123698,-0.13900740592582195,0.03355829469452311,550,0.1002206547697411,0.05758570046757368,0.0002457397304995723,False
GLOBAL_75_CASH25,LATEST_THREE_YEARS,BASE,0.75,0.0,0.25,0.1504183687354954,152269.46635577624,-0.13900740592582184,0.026220169471842435,183,0.08949678873976126,0.0534048652772138,0.00023983102129210288,False
GLOBAL_75_CASH25,FULL_COMMON_HISTORY,DOUBLE,0.75,0.0,0.25,0.0923436136852247,230878.489405171,-0.19554553262908514,0.036055247743733566,550,0.10883951976783163,0.14125588705592632,0.0005760843386246606,False
GLOBAL_75_CASH25,PRE_2020,DOUBLE,0.75,0.0,0.25,0.06202592396067219,118593.24863660548,-0.11235345725705581,0.030473354115629937,237,0.09560754818323508,0.3215670425237053,0.0006146782785392269,False
GLOBAL_75_CASH25,POST_2020,DOUBLE,0.75,0.0,0.25,0.10428292018395613,193104.70892737567,-0.19554553262908503,0.038188266881018104,550,0.11402734444296475,0.0643514156836443,0.000551147196051538,False
GLOBAL_75_CASH25,LATEST_FIVE_YEARS,DOUBLE,0.75,0.0,0.25,0.09533184869276634,157222.45496004936,-0.13906197516942886,0.03363708500961407,550,0.10021896748974489,0.057585700467573504,0.0004922723672213802,False
GLOBAL_75_CASH25,LATEST_THREE_YEARS,DOUBLE,0.75,0.0,0.25,0.15017771970463345,152173.90561709582,-0.13906197516942875,0.026241466506169056,183,0.08949354847104675,0.05340486527721365,0.000480480052152954,False
GLOBAL_100,FULL_COMMON_HISTORY,BASE,1.0,0.0,0.0,0.11601083229325537,282859.2536793278,-0.2558185599683075,0.04890992072479278,586,0.1457111118362502,0.1055614161849711,2.220446049250313e-16,True
GLOBAL_100,PRE_2020,BASE,1.0,0.0,0.0,0.0807540672530016,124615.76682771275,-0.14952004517221906,0.04087472980339594,237,0.12778680021969274,0.3528913043478261,2.220446049250313e-16,False
GLOBAL_100,POST_2020,BASE,1.0,0.0,0.0,0.12967523294147298,224538.8601036255,-0.2558185599683076,0.05196027087625241,586,0.15273419570839353,0.0,4.440892098500626e-16,False
GLOBAL_100,LATEST_FIVE_YEARS,BASE,1.0,0.0,0.0,0.11516454821291378,171886.4033000154,-0.18496854651804406,0.04640044369222054,586,0.1340502851857939,0.0,-4.440892098500626e-16,False
GLOBAL_100,LATEST_THREE_YEARS,BASE,1.0,0.0,0.0,0.18682342362237536,167191.35802469114,-0.18496854651804395,0.03596268632297483,189,0.11979371551927318,0.0,-8.881784197001252e-16,False
GLOBAL_100,FULL_COMMON_HISTORY,DOUBLE,1.0,0.0,0.0,0.11601083229325537,282859.2536793278,-0.2558185599683076,0.04890992072479277,586,0.14571111183625018,0.1055614161849711,1.1102230246251565e-15,False
GLOBAL_100,PRE_2020,DOUBLE,1.0,0.0,0.0,0.0807540672530016,124615.76682771281,-0.14952004517221906,0.04087472980339592,237,0.12778680021969277,0.3528913043478261,1.1102230246251565e-15,False
GLOBAL_100,POST_2020,DOUBLE,1.0,0.0,0.0,0.12967523294147298,224538.86010362548,-0.2558185599683077,0.05196027087625245,586,0.15273419570839353,0.0,2.220446049250313e-16,False
GLOBAL_100,LATEST_FIVE_YEARS,DOUBLE,1.0,0.0,0.0,0.11516454821291378,171886.4033000154,-0.18496854651804384,0.04640044369222051,586,0.1340502851857939,0.0,8.881784197001252e-16,False
GLOBAL_100,LATEST_THREE_YEARS,DOUBLE,1.0,0.0,0.0,0.18682342362237514,167191.3580246911,-0.18496854651804373,0.03596268632297476,189,0.11979371551927323,0.0,0.0,False
M2_TOP7_CASH0_25_CASH75,FULL_COMMON_HISTORY,BASE,0.0,0.25,0.75,0.048118945484299624,156081.91006529736,-0.06155782490733974,0.01606896261994151,681,0.04606097533402683,1.4160000177513345,0.004385624621014328,True
M2_TOP7_CASH0_25_CASH75,PRE_2020,BASE,0.0,0.25,0.75,0.013210840079546315,103789.11139691375,-0.03407325217258106,0.010831379130607688,272,0.033005572418161225,0.8877427519371731,0.0030790510786267156,False
M2_TOP7_CASH0_25_CASH75,POST_2020,BASE,0.0,0.25,0.75,0.06309104202624982,150035.59730671413,-0.061557824907339964,0.01767851205561408,681,0.05018282046085154,1.6434955875989445,0.00490380834705717,False
M2_TOP7_CASH0_25_CASH75,LATEST_FIVE_YEARS,BASE,0.0,0.25,0.75,0.06102559864396628,134226.8990624157,-0.057487289730053015,0.01892718448243377,681,0.049056581071675744,1.7608071164422128,0.005143976388825244,False
M2_TOP7_CASH0_25_CASH75,LATEST_THREE_YEARS,BASE,0.0,0.25,0.75,0.10386072007356684,134516.28241565183,-0.03923113826896418,0.010064002688884969,104,0.05072541355394893,1.8961797591712422,0.005639832781684229,False
M2_TOP7_CASH0_25_CASH75,FULL_COMMON_HISTORY,DOUBLE,0.0,0.25,0.75,0.043698211172842116,149955.82401140183,-0.06237722086756159,0.017708615304944254,732,0.046096315795079404,1.4160000177513348,0.008806358932471614,False
M2_TOP7_CASH0_25_CASH75,PRE_2020,DOUBLE,0.0,0.25,0.75,0.010127713216847356,102896.64869548964,-0.03462410069347632,0.011352172825504011,274,0.032984186653379724,0.8877427519371731,0.006162177941325675,False
M2_TOP7_CASH0_25_CASH75,POST_2020,DOUBLE,0.0,0.25,0.75,0.058138872715573164,145461.34971991612,-0.06237722086756159,0.019616633727977003,732,0.050237197042896975,1.6434955875989445,0.009855977657733606,False
M2_TOP7_CASH0_25_CASH75,LATEST_FIVE_YEARS,DOUBLE,0.0,0.25,0.75,0.05582524743028627,130989.34403900302,-0.06023919905500197,0.02120574031098019,732,0.0491280417511987,1.7608071164422128,0.01034432760250592,False
M2_TOP7_CASH0_25_CASH75,LATEST_THREE_YEARS,DOUBLE,0.0,0.25,0.75,0.09815330006130951,132440.0240196637,-0.039882062482040403,0.010370689613042564,105,0.0508005427362666,1.8961797591712422,0.01134725279394111,False
M2_TOP7_CASH0_50_CASH50,FULL_COMMON_HISTORY,BASE,0.0,0.5,0.5,0.07678574432353602,201542.16388555666,-0.12161642500933112,0.03741947930234603,764,0.09214434865113422,2.806087305315251,0.007335344256883758,True
M2_TOP7_CASH0_50_CASH50,PRE_2020,BASE,0.0,0.5,0.5,0.021994251049292757,106359.03776753755,-0.0692451115512982,0.02266893892308224,302,0.06614148144722445,1.7573804044372685,0.004698416412306949,False
M2_TOP7_CASH0_50_CASH50,POST_2020,BASE,0.0,0.5,0.5,0.10040980021187207,188606.35127506373,-0.12161642500933101,0.041737494830190035,764,0.10038099702801702,3.2577098917416176,0.008426632657275057,False
M2_TOP7_CASH0_50_CASH50,LATEST_FIVE_YEARS,BASE,0.0,0.5,0.5,0.08728778841216256,151567.7556312217,-0.11516779723618753,0.045562393733693834,764,0.0981214624014987,3.4971614407515896,0.008844609404899728,False
M2_TOP7_CASH0_50_CASH50,LATEST_THREE_YEARS,BASE,0.0,0.5,0.5,0.16595066192226393,158522.2648781887,-0.08295887100243626,0.023168604722841067,184,0.10143670829659955,3.765656907836439,0.010119296740892292,False
M2_TOP7_CASH0_50_CASH50,FULL_COMMON_HISTORY,DOUBLE,0.0,0.5,0.5,0.06942091744183831,188855.66031726,-0.1228961258839375,0.040746587780418925,800,0.09218964035839719,2.806087305315251,0.014700171138581464,False
M2_TOP7_CASH0_50_CASH50,PRE_2020,DOUBLE,0.0,0.5,0.5,0.017296276084391327,104979.40424085983,-0.07017524220217242,0.02353875155651306,302,0.06609486654225723,1.757380404437268,0.00939639137720949,False
M2_TOP7_CASH0_50_CASH50,POST_2020,DOUBLE,0.0,0.5,0.5,0.09194218458171077,179188.40031641745,-0.12289612588393739,0.04568237282373094,800,0.10045722886888188,3.2577098917416176,0.016894248287436575,False
M2_TOP7_CASH0_50_CASH50,LATEST_FIVE_YEARS,DOUBLE,0.0,0.5,0.5,0.07839619139333509,145507.53101244883,-0.11935964657887743,0.05016683609644619,800,0.09822995537292857,3.4971614407515896,0.017736206423726752,False
M2_TOP7_CASH0_50_CASH50,LATEST_THREE_YEARS,DOUBLE,0.0,0.5,0.5,0.15577520954796742,154407.01719407577,-0.08397927705484654,0.023978062325919824,184,0.10155401556803148,3.765656907836439,0.020294749115187694,False
