policy_id,switch_mode,exclusion_type,excluded_families,window_id,net_cagr,excess_vs_global,maximum_drawdown,ulcer_index,delta_cagr,delta_mdd,dependency_status,incremental_vs_replacement_control
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,EXCLUDE_TOP_3_FAMILY_CONTRIBUTORS,GLOBAL_BATTERY_EV;GLOBAL_SEMICONDUCTORS;GLOBAL_SILVER_MINERS,FULL_COMMON_HISTORY,0.10512801588615739,-0.010882816407097984,-0.25464298642179006,0.053594098743539785,-0.011466293505629999,-0.00960970702263908,ROBUSTNESS_DIAGNOSTIC,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,EXCLUDE_TOP_5_FAMILY_CONTRIBUTORS,EUROPE_BANKS;GLOBAL_BATTERY_EV;GLOBAL_SEMICONDUCTORS;GLOBAL_SILVER_MINERS;GLOBAL_TRANSPORTATION,FULL_COMMON_HISTORY,0.10169841006567704,-0.014312422227578336,-0.2539290124105533,0.052371749939498724,-0.014895899326110351,-0.00889573301140234,ROBUSTNESS_DIAGNOSTIC,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,CHINA_INTERNET,FULL_COMMON_HISTORY,0.11762575879045523,0.0016149264971998534,-0.24503287963988363,0.05186907494286607,0.0005131449989972392,0.0,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,EUROPE_AEROSPACE_DEFENCE,FULL_COMMON_HISTORY,0.11711261379145799,0.0011017814982026142,-0.24503287963988363,0.05188056157853023,0.0,0.0,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,EUROPE_BANKS,FULL_COMMON_HISTORY,0.11786042524027462,0.0018495929470192518,-0.24503220315160756,0.05034604506509778,0.0007478114488166376,6.764882760634805e-07,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,EUROPE_INFRASTRUCTURE,FULL_COMMON_HISTORY,0.11711261379145799,0.0011017814982026142,-0.24503287963988363,0.05188056157853023,0.0,0.0,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_AEROSPACE_DEFENCE,FULL_COMMON_HISTORY,0.11712680035792511,0.0011159680646697367,-0.24503287963988363,0.051880220508941643,1.4186566467122574e-05,0.0,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_AGRIBUSINESS,FULL_COMMON_HISTORY,0.11708554412927197,0.0010747118360165953,-0.24503336914354723,0.05300960894885995,-2.7069662186018917e-05,-4.895036636032302e-07,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_AI,FULL_COMMON_HISTORY,0.11968100208087429,0.0036701697876189154,-0.24503287963988363,0.05184919048799,0.0025683882894163013,0.0,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_BATTERY_EV,FULL_COMMON_HISTORY,0.11523573231317008,-0.000775099980085292,-0.24620516649809565,0.05129440172981134,-0.0018768814782879062,-0.0011722868582120238,SIGN_REVERSAL_DEPENDENCY,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_BIOTECHNOLOGY,FULL_COMMON_HISTORY,0.11796053908946136,0.0019497067962059855,-0.24858052575698297,0.051957247647644644,0.0008479252980033714,-0.0035476461170993456,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_CLEAN_ENERGY,FULL_COMMON_HISTORY,0.11801864600439593,0.0020078137111405603,-0.24503287963988363,0.05186083739704751,0.0009060322129379461,0.0,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_CYBERSECURITY,FULL_COMMON_HISTORY,0.1184840133262055,0.0024731810329501336,-0.24503287963988363,0.04942436314382098,0.0013713995347475194,0.0,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_GENOMICS,FULL_COMMON_HISTORY,0.11593920348096187,-7.162881229350049e-05,-0.24503287963988363,0.05189877244612226,-0.0011734103104961147,0.0,SIGN_REVERSAL_DEPENDENCY,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_GOLD_MINERS,FULL_COMMON_HISTORY,0.11903786145512263,0.0030270291618672562,-0.25001827832287815,0.05180265125122628,0.001925247663664642,-0.004985398682994524,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_INFRASTRUCTURE,FULL_COMMON_HISTORY,0.11661017132304186,0.0005993390297864831,-0.24671591198155718,0.052668063651557476,-0.000502442468416131,-0.0016830323416735515,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_OIL_GAS,FULL_COMMON_HISTORY,0.1164177807960678,0.0004069485028124209,-0.24503286002161717,0.05497986856243785,-0.0006948329953901933,1.9618266455800892e-08,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_QUANTUM_COMPUTING,FULL_COMMON_HISTORY,0.1169149613348952,0.000904129041639834,-0.24503287963988363,0.051879752472699235,-0.0001976524565627802,0.0,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_RETAIL,FULL_COMMON_HISTORY,0.11903985330652334,0.003029021013267963,-0.24503287963988363,0.05164149408942474,0.0019272395150653487,0.0,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LEAVE_ONE_FAMILY_OUT,GLOBAL_ROBOTICS_AUTOMATION,FULL_COMMON_HISTORY,0.11697842857144303,0.0009675962781876546,-0.24688518746720878,0.050396186913068165,-0.00013418522001495958,-0.0018523078273251503,NONNEGATIVE_INCREMENTAL,
