evaluation_id,signal_id,signal_family,signal_role,registry_class,universe_id,primary_decision_universe,cohort_id,ranking_mode,frequency_id,forward_horizon_sessions,authorised_family_count,scheduled_observation_dates,overlapping_forward_returns,historical_eligibility_warning,status,ic_observation_count,ic_mean,ic_median,ic_standard_deviation,ic_information_ratio,ic_positive_frequency,ic_hac_lag,ic_hac_standard_error,ic_hac_t_statistic,ic_hac_p_value,ic_confidence_interval_low,ic_confidence_interval_high,bh_fdr_q_value,headline_predeclared_test,multiple_testing_family,fdr_survives_q_0_10,spread_mean,spread_median,spread_hac_t_statistic,spread_hac_p_value,mean_monotonicity_score,strict_monotonicity_frequency,benchmark_id,top_rank_vs_cross_section_median_hit_rate,top_rank_vs_equal_weight_hit_rate,top_rank_vs_benchmark_hit_rate,deepvue_used
A3EVAL-DC8EEF517E7AB87E,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,MONTH_END,21,15,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,100,0.0035753819272544727,-0.008241758241758268,0.49136318626370057,0.007276454620952551,0.49,1,0.05174458072847838,0.06909674166683719,0.9449126146047971,-0.0978421326956885,0.10499289655019745,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,-0.001991436964739474,-0.001384629737536407,-0.7947824618292906,0.4267400546140049,0.4583333333333333,0.15476190476190477,GLOBAL_ALL_WORLD,0.4366812227074236,0.462882096069869,0.5252525252525253,False
A3EVAL-62CC0977834DBDB7,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,MONTH_END,42,15,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,88,0.0032643467859854625,-0.01868131868131869,0.4869260834244346,0.006703988340546666,0.48863636363636365,1,0.05816119901862933,0.056125850929240224,0.9552415503295316,-0.11072950858819437,0.11725820216016529,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,-0.000581134855608108,-0.002000991083222964,-0.1343974306854619,0.8930883132197772,0.5066666666666667,0.2,GLOBAL_ALL_WORLD,0.44651162790697674,0.5116279069767442,0.5568181818181818,False
A3EVAL-E3417E0A5BE32F3F,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,MONTH_END,63,15,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,78,0.06592601350308941,0.027102004287047402,0.507565293717082,0.12988676396742901,0.5128205128205128,2,0.07167909020134194,0.9197384246634198,0.3577094677803203,-0.0745624217361387,0.2064144487423175,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.0012526247445310964,0.0012613273925769714,0.15683426856573837,0.8753754646298963,0.5522388059701493,0.26865671641791045,GLOBAL_ALL_WORLD,0.4729064039408867,0.5270935960591133,0.5769230769230769,False
A3EVAL-D99AB800A36D32DD,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,MONTH_END,126,15,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,54,0.1641973399441799,0.22848152120373716,0.412599499455354,0.39795816563259584,0.6666666666666666,5,0.07411158217194713,2.2155422287871787,0.026722869174935313,0.018941308049882755,0.30945337183847704,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.018825905815955057,0.022800888639041866,2.235617942882443,0.025376808237899468,0.6063829787234043,0.2765957446808511,GLOBAL_ALL_WORLD,0.49411764705882355,0.5235294117647059,0.6181818181818182,False
A3EVAL-8E4260D2F1C17CE1,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,1,15,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,320,-0.012023124884910464,0.027609337252612214,0.46736154887340214,-0.025725532863995326,0.515625,1,0.02631745175931416,-0.4568498878564598,0.6477789450941711,-0.0636043824980365,0.03955813272821557,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,-0.0004720147821393353,-0.00011787175419891455,-1.3376901001441195,0.1809974794855378,0.4721223021582734,0.2014388489208633,GLOBAL_ALL_WORLD,0.38369565217391305,0.4380434782608696,0.5040650406504065,False
A3EVAL-A10F58DBE89D6888,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,5,15,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,311,0.010659655560307804,0.02661231477061753,0.5055835760935273,0.021083864398189798,0.5209003215434084,1,0.028660955589290115,0.3719225455375623,0.7099505184345987,-0.04551478515720278,0.06683409627781839,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,-0.00047807847644168076,0.00011904983957915227,-0.5904713706924068,0.5548746741025318,0.4833948339483395,0.23247232472324722,GLOBAL_ALL_WORLD,0.4079382579933848,0.4652701212789416,0.5181058495821727,False
A3EVAL-5B3F913A3DF01270,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,21,15,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,281,0.04483932834715261,0.09999999999999996,0.4989048134099639,0.08987551761764001,0.5693950177935944,4,0.04901048812070604,0.9148925070225695,0.3602480640721748,-0.05121946323415939,0.14089811992846463,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.000548543353212768,0.003133027476476818,0.2230217237787123,0.8235185991407934,0.5345528455284553,0.2764227642276423,GLOBAL_ALL_WORLD,0.40415704387990764,0.45496535796766746,0.5261538461538462,False
A3EVAL-47D5647C1C7F0A9E,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,42,15,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,247,0.05188021634173419,0.033333333333333326,0.47555312950985695,0.10909446941334627,0.5222672064777328,8,0.05853617108826643,0.8862933016835735,0.375459497595113,-0.06284857078414278,0.16660900346761115,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.003907720742002571,0.0028843585331647797,0.8559464002349882,0.39202742784865363,0.5414746543778802,0.31336405529953915,GLOBAL_ALL_WORLD,0.4186046511627907,0.4602203182374541,0.5226480836236934,False
A3EVAL-5335AFA74FD0CAA4,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,63,15,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,235,0.07946689200299788,0.1107823418813994,0.42664777847544777,0.18625877365858814,0.5617021276595745,12,0.06546302877033754,1.2139201851137957,0.224778204106741,-0.048838286705773074,0.20777207071176884,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.009480035370004492,0.007983115788160671,1.545182780555655,0.12230205822003486,0.5606796116504854,0.2766990291262136,GLOBAL_ALL_WORLD,0.4022842639593909,0.4593908629441624,0.5,False
A3EVAL-1E3A83B26E6BB5F3,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,126,15,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,222,0.15591378516568347,0.18406593406593408,0.39053251037834213,0.3992338179851826,0.6486486486486487,25,0.07201948994747868,2.1648832181314526,0.030396629696631285,0.014758178683680762,0.2970693916476862,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.019693937773937218,0.02196357381096732,2.0932402940322103,0.03632770945970598,0.6191709844559585,0.34196891191709844,GLOBAL_ALL_WORLD,0.44367176634214184,0.48956884561891517,0.47950819672131145,False
