economic_exposure_family_id,economic_exposure_name,universe_tier,valid_return_observations,first_valid_date,last_valid_date,has_1_year,has_3_years,has_5_years,has_10_years,usable_history,validated_actual_implementation_history,requires_proxy_for_504_day_research,historical_eligibility_unresolved,a3_ready,a3_scope,selected_listing_count_through_time,validation_statuses
GLOBAL_TECHNOLOGY,Broad global technology sector,CORE,2480,2016-09-15,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
GLOBAL_TRANSPORTATION,Transportation and logistics,EXPERIMENTAL,2132,2018-01-26,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
GLOBAL_URANIUM_NUCLEAR,Uranium miners and nuclear-energy value chain,EXTENDED,1074,2022-05-06,2026-08-21,True,True,False,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
GLOBAL_UTILITIES,Broad global utilities sector,CORE,1807,2016-07-08,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
GLOBAL_WATER,Water infrastructure and services,EXTENDED,3280,2007-04-04,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,3,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE;PASS_WITH_OPEN_EVENT_TOLERANCE_ITEMS
GOLD,"Unleveraged gold exposure, preferring physically backed implementations",CORE,4972,2006-10-02,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,3,PASS_PRICE_RETURN_ETC_VENDOR_SEMANTICS_NO_DISTRIBUTION
INDIA,Broad Indian equities,CORE,4336,2007-09-21,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,4,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS;PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
JAPAN,Broad Japanese equities,CORE,3490,2011-12-01,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,4,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION
JAPAN_EUR_HEDGED,Broad Japanese equities hedged to EUR,EXTENDED,3926,2010-10-11,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
JAPAN_GBP_HEDGED,Broad Japanese equities hedged to GBP,EXTENDED,3523,2012-08-06,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
