analysis_context_id,analysis_context_type,signal_id,forward_horizon_sessions,mean_contemporaneous_count,ic_observation_count,mean_spearman_ic,median_spearman_ic,ic_positive_frequency,ic_hac_t_statistic,ic_hac_p_value,ic_ci_low,ic_ci_high,top_bottom_observation_count,top_bottom_mean,top_bottom_median,top_bottom_positive_frequency,top_bottom_hac_t_statistic,top_bottom_hac_p_value,bucket_date_count,warning,bucket_count,bucket_1_mean_forward_return,bucket_2_mean_forward_return,bucket_3_mean_forward_return,bucket_4_mean_forward_return,bucket_5_mean_forward_return,bucket_monotonicity_fraction
POOL_EUROPE_BROAD_SECTORS,FINE_POOL,RS_21,42,8.48885077186964,580,-0.05162785490371697,-0.07142857142857142,0.43448275862068964,-1.9432631251745394,0.05198437446342538,-0.10369941170910654,0.00044370190167259543,583,-0.0025923413242101233,-0.005782581384233487,0.4391080617495712,-0.874408818218144,0.3818956568148759,575,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.039193928862921654,0.037534161561303056,0.02730252089171147,0.03472811721001506,0.022145428537077714,0.25
POOL_EUROPE_BROAD_SECTORS,FINE_POOL,RS_21,63,8.39198606271777,567,-0.0398077525061652,-0.07142857142857142,0.43209876543209874,-1.777043501191289,0.07556108281013106,-0.08371312745352236,0.00409762244119196,574,-0.002397512904417432,-0.00332800687517093,0.4634146341463415,-0.7704040537917517,0.4410602495020792,561,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.05640862821741199,0.0476400935055462,0.04092222844900426,0.056730545286833335,0.03399456031268443,0.25
POOL_EUROPE_BROAD_SECTORS,FINE_POOL,RS_21,126,8.299270072992702,543,-0.04494511013848031,-0.05000000000000006,0.4162062615101289,-1.4688180035103584,0.14188215953291863,-0.10491904628446805,0.015028826007507434,548,-0.004679341741511504,-0.008200680201746358,0.4416058394160584,-0.8503091845930688,0.39515321154624594,537,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.10930427255423217,0.09600731346681667,0.08336974684159858,0.10455102517322155,0.10272288322431486,0.25
POOL_EUROPE_BROAD_SECTORS,FINE_POOL,RS_252,5,8.023762376237624,497,0.03225935700784795,0.06666666666666668,0.5311871227364185,1.5516709370234754,0.12074098013410445,-0.008488443567117136,0.07300715758281304,505,0.001431261692621822,0.0016885434770033125,0.5366336633663367,1.7391252245899276,0.08201273858547314,475,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,-0.0027717226016655727,-0.0050487476037131065,0.0007999680467633663,0.004707877204477156,0.005106894123690014,0.75
POOL_EUROPE_BROAD_SECTORS,FINE_POOL,RS_252,10,8.019880715705765,496,0.04886450914676721,0.09523809523809523,0.5524193548387096,1.966033470883428,0.049294744405222635,0.00015085321553997416,0.09757816507799444,503,0.0029992636303107813,0.005689049541835578,0.5685884691848907,2.254405493373402,0.024170670021709896,475,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,-0.0005989580055481243,-0.006804324287483329,0.006856424272049989,0.013362423153584312,0.010206543274087708,0.5
POOL_EUROPE_BROAD_SECTORS,FINE_POOL,RS_252,21,8.020120724346077,492,0.04932381304332524,0.08571428571428573,0.5650406504065041,1.6580397734575802,0.09730943870834904,-0.00898172262154507,0.10762934870819554,497,0.004840893512920757,0.004238934029457964,0.5573440643863179,2.129208025205699,0.03323705323555367,472,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.006605845707717353,-0.004428107298147368,0.018120017649659266,0.04121736790425309,0.009119941418791163,0.5
POOL_EUROPE_BROAD_SECTORS,FINE_POOL,RS_252,42,8.0,486,0.017165481980296802,0.028571428571428553,0.5205761316872428,0.47756196174642823,0.632962009901269,-0.05328344225064284,0.08761440621123644,489,0.0061950332219269455,0.001960450798333957,0.5214723926380368,1.4710399020497404,0.14128032615248357,468,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.012876082187412013,0.006066307733772804,0.04302270822649362,0.08670310431702827,-0.0014375423141624974,0.5
POOL_EUROPE_BROAD_SECTORS,FINE_POOL,RS_252,63,7.90625,472,0.027228244918922888,0.047619047619047616,0.5508474576271186,0.6083239116262342,0.5429726649766708,-0.06049866895605544,0.11495515879390122,480,0.008206319723286264,0.006230868766391229,0.5479166666666667,1.3968828636618038,0.16244879853076621,449,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.028263509688290594,0.014864759389308792,0.07128352485383671,0.1319807256568729,0.002071024377305907,0.5
POOL_EUROPE_BROAD_SECTORS,FINE_POOL,RS_252,126,7.823788546255507,449,0.11272139145190371,0.10714285714285712,0.5857461024498887,1.6896796226803221,0.09108926377401738,-0.01803112788221331,0.24347391078602074,454,0.024324309052757648,0.01931660639291688,0.6255506607929515,1.8672888205281108,0.06186126573903023,429,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",3,0.037411038964653365,0.04462573171788791,0.05901994269678579,,,1.0
POOL_EUROPE_BROAD_SECTORS,FINE_POOL,RS_42,5,8.48223350253807,583,-0.014433850883250535,-0.023809523809523808,0.48198970840480276,-0.8177340450387622,0.4135090660074504,-0.049029240498038675,0.020161538731537608,591,-0.0005904041518313105,-0.000130612359471316,0.49238578680203043,-0.7686272037988905,0.4421146512809787,577,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.006637126421469527,0.005447524077777738,0.0035694640355732805,0.0033233734174362927,0.00368747316172403,0.25
