module_id,counterfactual_event_id,review_date,execution_date,counterfactual_end_date,family,action_type,allocation_reduced,position_return_at_reduction,realised_profit_locked_return_equivalent,profit_remaining_invested_return_equivalent,family_counterfactual_return,actual_cash_return,avoided_downside_return_equivalent,foregone_upside_return_equivalent,incremental_cost_return_equivalent,net_monetisation_value,warning
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-002,2021-11-12,2021-11-15,2021-11-29,GLOBAL_OIL_GAS,FIRST_WEAKENING_75,0.25,0.085259273645369,0.019640300644237857,0.05892090193271357,-0.030840953917877445,1.7831629713249697e-05,0.007714696386897674,0.0,0.00051596,0.0071987363868976735,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-004,2021-11-26,2021-11-29,2021-12-01,GLOBAL_OIL_GAS,STRONGER_WEAKENING_50,0.5,0.018061759564964586,0.008870660053414976,0.008870660053414976,0.00499537465309885,2.517233042675926e-06,0.0,0.002496428710028087,0.00101596,-0.0035123887100280866,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-005,2022-01-14,2022-01-17,2022-01-24,GLOBAL_SEMICONDUCTORS,FIRST_WEAKENING_75,0.25,-0.0493023214237831,0.0,0.0,-0.12400753162913214,3.7634990804669144e-05,0.031011291654984202,0.0,0.00051596,0.030495331654984203,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-006,2022-01-21,2022-01-24,2022-01-31,GLOBAL_SEMICONDUCTORS,STRONGER_WEAKENING_50,0.5,-0.11096262659670553,0.0,0.0,0.01581914921777816,3.7479126169692734e-05,0.0,0.007890835045804234,0.00101596,-0.008906795045804234,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-007,2022-01-28,2022-01-31,2022-02-01,GLOBAL_SEMICONDUCTORS,FAILED_EXIT,1.0,-0.1775169615002996,0.0,0.0,0.015051622687923594,5.443917718173097e-06,0.0,0.01504617877020542,0.0020159600000000002,-0.01706213877020542,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-008,2022-06-17,2022-06-20,2022-07-11,GLOBAL_OIL_GAS,FIRST_WEAKENING_75,0.25,0.16519823788546084,0.03544423440453655,0.10633270321360964,-0.04688555600594502,0.000680584714324528,0.011891535180067386,0.0,0.00051596,0.011375575180067387,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-012,2022-07-08,2022-07-11,2022-07-18,GLOBAL_OIL_GAS,STRONGER_WEAKENING_50,0.5,0.1209880427942085,0.05396491228070108,0.05396491228070108,0.015593989225971105,0.0002270737158795999,0.0,0.007683457755045753,0.00101596,-0.008699417755045753,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-013,2022-07-15,2022-07-18,2022-08-01,GLOBAL_OIL_GAS,FAILED_EXIT,1.0,0.09015103838892236,0.08269591571655235,0.0,0.06267448352875493,0.0004541366937171887,0.0,0.06222034683503774,0.0020159600000000002,-0.06423630683503774,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-015,2022-07-29,2022-08-01,2022-08-08,GLOBAL_OIL_GAS,FIRST_WEAKENING_75,0.25,,0.0,0.0,-0.005122816235387129,0.000281001383136692,0.0013509544046309552,0.0,0.00051596,0.0008349944046309552,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-016,2022-08-05,2022-08-08,2022-08-30,GLOBAL_OIL_GAS,FAILED_EXIT,1.0,-0.025220018389596754,0.0,0.0,0.1536836546078688,0.0010107016342200126,0.0,0.1526729529736488,0.0020159600000000002,-0.1546889129736488,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-019,2022-08-31,2022-09-01,2022-09-05,GLOBAL_INFRASTRUCTURE,STRONGER_WEAKENING_50,0.5,,0.0,0.0,-0.0006178289010422278,0.00018376908460004948,0.0004007989928211386,0.0,0.00101596,-0.0006151610071788614,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-020,2022-11-11,2022-11-14,2022-12-01,GLOBAL_OIL_GAS,FIRST_WEAKENING_75,0.25,0.13851271085768668,0.030415275459098647,0.09124582637729595,-0.07877912971746748,0.001344758334804741,0.020030972013068055,0.0,0.00051596,0.019515012013068055,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-023,2023-03-17,2023-03-20,2023-03-27,EUROPE_BANKS,FIRST_WEAKENING_75,0.25,0.06112555384512541,0.014401112484669952,0.04320333745400986,-0.0005313496280553442,0.0007652585376789478,0.000324152041433573,0.0,0.00051596,-0.00019180795856642697,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-024,2023-03-24,2023-03-27,2023-04-03,EUROPE_BANKS,FAILED_EXIT,1.0,0.059312805641289934,0.05599177629631596,0.0,0.050770866560340355,0.0007851163890679747,0.0,0.04998575017127238,0.0020159600000000002,-0.05200171017127238,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-025,2023-04-21,2023-04-24,2023-05-02,GLOBAL_SEMICONDUCTORS,FIRST_WEAKENING_75,0.25,-0.0435653480220326,0.0,0.0,-0.00490065519629268,0.0008976367820281439,0.001449572994580206,0.0,0.00051596,0.0009336129945802061,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
