listing_id,share_class_id,fund_entity_id,economic_exposure_family_id,duplicate_group_id,isin,provider_issuer,ticker,mic,listing_currency,price_unit,accumulating_distributing,hedged_unhedged,ter_ocf_percent,current_investability_state,broker_status,implementation_evidence_confidence,implementation_selection_status,warning,implementation_evidence_order
LIST-41F6B703AB52B010,SC-E4A748FC4DF81B4A,FUND-BB6B7E7B9401E72D,CANADA,DUP-CANADA,IE00B52SF786,ISHARES,CCAU,XLON,USD,USD,ACCUMULATING,UNHEDGED,0.4800,CURRENTLY_INVESTABLE,NOT_CHECKED,HIGH,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2
LIST-573219972ABC22EB,SC-340D664428EAE058,FUND-E42479B2B86DA0C7,CANADA,DUP-CANADA,LU0446734872,UBS,UB23,XLON,GBP,GBX,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,3
LIST-EE9374C8CF47DB0A,SC-4338618524D682A8,FUND-B756E6B19C71172A,CANADA,DUP-CANADA,IE00B51B7Z02,HSBC,HCAN,XLON,GBP,GBX,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,4
LIST-41CF9FA344F46558,SC-4338618524D682A8,FUND-B756E6B19C71172A,CANADA,DUP-CANADA,IE00B51B7Z02,HSBC,HCAD,XLON,USD,USD,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,5
LIST-3A822D65AEFA4ACF,SC-B3150C51BC5C4964,FUND-70AECA3C35FB043E,CHINA_A_SHARES,DUP-CHINA_A_SHARES,LU0875160326,DEUTSCHE BANK,RQFI,XLON,GBP,GBX,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1
LIST-4CF43ECE3A695F1C,SC-B3150C51BC5C4964,FUND-70AECA3C35FB043E,CHINA_A_SHARES,DUP-CHINA_A_SHARES,LU0875160326,DEUTSCHE BANK,ASHR,XLON,USD,USD,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2
LIST-E8C08D1EA3A3EB70,SC-EC5228E192B76E69,FUND-EB7A6A967272227B,CHINA_BROAD,DUP-CHINA_BROAD,IE000NFR7C63,ISHARES,CTCE,XLON,GBP,GBX,ACCUMULATING,UNHEDGED,0.4500,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1
LIST-8B13884E3BB95C07,SC-540192216A0B021A,FUND-B756E6B19C71172A,CHINA_BROAD,DUP-CHINA_BROAD,IE0007P4PBU1,HSBC,HCHS,XLON,GBP,GBX,ACCUMULATING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2
LIST-B7A3CF68D3E0AFC6,SC-496AE12DB747BB41,FUND-F26C5F58336A1D6C,CHINA_BROAD,DUP-CHINA_BROAD,IE00BK80XL30,INVESCO,MCHS,XLON,GBP,GBX,ACCUMULATING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,3
LIST-C7CF15637C121DFB,SC-675C50B7C94DC58E,FUND-E42479B2B86DA0C7,CHINA_BROAD,DUP-CHINA_BROAD,IE00BKFB6K94,UBS,CNUA,XLON,GBP,GBX,ACCUMULATING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,4
LIST-D45586FED3956412,SC-9B142D6E25D04FCE,FUND-C758EFEBA9C7F622,CHINA_BROAD,DUP-CHINA_BROAD,FR0011720911,AMUNDI,CNAL,XLON,GBP,GBX,ACCUMULATING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,5
