signal_id,frequency_id,forward_horizon_sessions,regime_id,regime_state,ic_observation_count,ic_mean,ic_median,ic_standard_deviation,ic_information_ratio,ic_positive_frequency,ic_hac_lag,ic_hac_standard_error,ic_hac_t_statistic,ic_hac_p_value,ic_confidence_interval_low,ic_confidence_interval_high,spread_observation_count,spread_mean,spread_median,spread_standard_deviation,spread_information_ratio,spread_positive_frequency,spread_hac_lag,spread_hac_standard_error,spread_hac_t_statistic,spread_hac_p_value,spread_confidence_interval_low,spread_confidence_interval_high,descriptive_only_no_filter_optimisation,historical_eligibility_warning
ABS_POS_252,MONTH_END,42,EQUITY_TREND,BEAR_NONPOSITIVE_252,5,-0.0682119983552337,-0.2563267584008385,0.34829933853096723,-0.1958430315800585,0.4,1,0.16581282253722865,-0.4113795140295534,0.6807942730962239,-0.39319915870313327,0.2567751619926658,5,0.0005862894677882285,-0.012532988733566262,0.04608269719459967,0.012722551054518886,0.4,1,0.02244298267601377,0.026123509350423065,0.9791588257095812,-0.04340114828285512,0.04457372721843158,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,42,EQUITY_TREND,BULL_POSITIVE_252,39,0.03296943337841234,0.013696060278575685,0.37594267159191264,0.08769803448702626,0.5384615384615384,1,0.06450914229713971,0.5110815646338889,0.6092939442696742,-0.09346616219755094,0.15940502895437564,39,0.009057114587964543,-0.0013607429152382236,0.07030482724720019,0.1288263543571289,0.48717948717948717,1,0.013147922086733684,0.6888628125582836,0.4909096032999495,-0.01671233917357219,0.03482656834950128,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,42,MARKET_VOLATILITY,HIGH,22,-0.02506966198674659,-0.16487967696993971,0.31190603145244417,-0.08037568837641706,0.4090909090909091,1,0.0706454362549703,-0.35486598024911764,0.7226899957416345,-0.16353217271860856,0.11339284874511538,23,0.005131274154853363,-0.012510028016316958,0.054718520260901696,0.09377582088088443,0.43478260869565216,1,0.012065881496670169,0.42527138661766606,0.6706388497201328,-0.01851741902034841,0.02877996733005514,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,42,MARKET_VOLATILITY,LOW,19,0.043234222351792286,0.039143688647822195,0.3767266132073774,0.11476285676688593,0.631578947368421,1,0.09452012837337534,0.4574075712318923,0.6473781234009094,-0.14202182507412586,0.22849026977771042,19,0.013091837758243316,0.0062381340678904044,0.0752450669316176,0.17398931640450427,0.5263157894736842,1,0.019995876472492756,0.654726877126544,0.5126436174251979,-0.026099359967154304,0.05228303548364094,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,42,RATES,FALLING,23,0.13330269613615645,0.18910652945528472,0.4762351359554028,0.27990941044013945,0.6086956521739131,1,0.10124533045608464,1.3166305600037205,0.18796248999445364,-0.06513450516062569,0.3317398974329386,29,0.01294287890370723,0.0027259218858680864,0.06854332676090737,0.18882770235028923,0.5172413793103449,1,0.013101743198571174,0.9878745681047031,0.32321408208228386,-0.012736065900184881,0.03862182370759934,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,42,RATES,RISING,38,0.05636187095794167,0.03756853859016235,0.3695903186350536,0.15249823416937325,0.5263157894736842,1,0.06763519922638755,0.8333215781517556,0.4046633898103179,-0.07620068361296925,0.1889244255288526,54,0.00990619593379014,-0.006867919882626935,0.06592715837297415,0.15025971357277604,0.46296296296296297,1,0.010677897559871231,0.9277290663490503,0.35354812707044836,-0.011022098714165597,0.03083449058174588,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,42,RATES,UNCHANGED,0,,,,,,1,,,,,,0,,,,,,1,,,,,,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,42,CROSS_SECTIONAL_DISPERSION,HIGH,26,0.020619967473195937,-0.16487967696993971,0.46296782912694245,0.04453866160005275,0.46153846153846156,1,0.0962709018091354,0.2141869151083329,0.8304012995478307,-0.16806753283190137,0.20930746777829326,26,0.012656822476184519,-0.013929069755980123,0.08044151891342854,0.15734191307110743,0.38461538461538464,1,0.017725504220611036,0.7140458358001063,0.4751988370315231,-0.022084527404025833,0.047398172356394874,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,42,CROSS_SECTIONAL_DISPERSION,LOW,28,0.14897518099773266,0.19811023659026972,0.3741264785579674,0.39819470028409215,0.6785714285714286,1,0.07772809460922393,1.9166194893455408,0.05528629019925547,-0.003369085023268187,0.3013194470187335,29,0.024342463124125906,0.021232573153786263,0.0594881452543265,0.40919855578041425,0.7241379310344828,1,0.012630058246708932,1.927343694592139,0.05393681159839362,-0.0004119961620667016,0.049096922410318516,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,42,US_LEADERSHIP,BROADER_LEADERSHIP,19,0.23723788346505184,0.3448605212143089,0.3778881813575374,0.6277991616800267,0.7368421052631579,1,0.08488809566061446,2.7947132235541847,0.005194577243934945,0.07086027325405664,0.40361549367604704,34,0.021784711560720923,0.01493874267264289,0.06836275339103123,0.31866346043895505,0.6176470588235294,1,0.012391165169375901,1.758084188447481,0.07873318569383057,-0.0025015258977430024,0.04607094901918485,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,42,US_LEADERSHIP,US_DOMINANT,42,0.01667126956422373,-0.03819874302737719,0.4108789797812167,0.04057464699970971,0.47619047619047616,1,0.0647864286469127,0.2573265715121059,0.7969266818244044,-0.11030779727069918,0.14365033639914665,49,0.0034611811340340003,-0.009350379722921222,0.06472992518048462,0.053471112849015144,0.3877551020408163,1,0.01017538618253822,0.340152311857575,0.733741828749191,-0.016482209312527422,0.02340457158059542,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,63,EQUITY_TREND,BEAR_NONPOSITIVE_252,5,-0.03527620163574596,0.08878706004403546,0.3732828076930266,-0.09450261546670469,0.6,2,0.1801563131254168,-0.19580885634126094,0.8447597779043587,-0.3883760869490835,0.31782368367759156,5,-0.0027270530450694496,0.011214537245010259,0.05452740515741052,-0.05001252190888146,0.6,2,0.026126267993556388,-0.10437973941559629,0.9168680004498783,-0.05393359736288151,0.04847949127274261,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,63,EQUITY_TREND,BULL_POSITIVE_252,39,0.09166617916516162,0.0795923414370493,0.3698664114276572,0.24783591138037353,0.5384615384615384,2,0.07976962071214774,1.1491364550414893,0.25049971834581364,-0.06467940449106829,0.24801176282139153,39,0.02113294565262405,0.004962783938777575,0.09034073442860141,0.23392488212862556,0.5384615384615384,2,0.018668889752189704,1.1319872757910165,0.25763978395391096,-0.015457405893016665,0.05772329719826476,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,63,MARKET_VOLATILITY,HIGH,22,0.04548668751378176,0.02549580556520765,0.3381456129312154,0.13451804717938046,0.5,2,0.08628962125242512,0.5271397284352245,0.5980965596491756,-0.1236378623805735,0.21461123740813703,22,0.012870061402053684,0.0033900754287464405,0.08198979536474528,0.1569715029144672,0.5,2,0.016564660595717547,0.7769589559463098,0.4371829861487163,-0.019596076781682507,0.045336199585789876,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
