economic_exposure_family_id,economic_exposure_name,preferred_or_alternate,isin,ticker,exchange,mic,listing_currency,price_unit,instrument_type,product_structure,ucits_status,LSE_current_status,UK_retail_disclosure_status,public_ISA_rules_status,current_investability_state,public_evidence_URLs,public_evidence_date,public_evidence_confidence,warning,current_eligibility_not_historical
EUROPE_AEROSPACE_DEFENCE,Aerospace and defence businesses,PREFERRED,IE000IAXNM41,DFEU,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D17%26size%3D100,2026-08-22,MEDIUM,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_BANKS,Europe banking industry,ALTERNATE,LU1834983477,CB5,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D23%26size%3D100,2026-08-22,MEDIUM,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_BANKS,Europe banking industry,PREFERRED,IE00B3Q19T94,S7XP,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D12%26size%3D100,2026-08-22,MEDIUM,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_BROAD,Broad developed European equities,ALTERNATE,LU0446734104,UB12,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D27%26size%3D100,2026-08-22,MEDIUM,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_BROAD,Broad developed European equities,PREFERRED,IE00B4K48X80,SMEA,London Stock Exchange,XLON,GBP,GBX,ETF,Physical,YES,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,CURRENTLY_INVESTABLE,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D14%26size%3D100;https://www.ishares.com/gls-download/literature/kiid/ucits_kiid-ishares-core-msci-europe-ucits-etf-eur-acc-gb-ie00b4k48x80-en.pdf,2026-08-22,HIGH,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_COMMUNICATION_SERVICES,Broad Europe communication services sector,PREFERRED,IE00BKWQ0N82,TELE,LONDON STOCK EXCHANGE,XLON,EUR,EUR,ETF,UCITS_ETF,UCITS_CONFIRMED_PRIMARY_EVIDENCE,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,CURRENT_CANDIDATE_UNVERIFIED,https://www.ssga.com/ie/en_gb/institutional/etfs/state-street-spdr-msci-europe-communication-services-ucits-etf-stt-fp,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_CONSUMER_DISCRETIONARY,Broad Europe consumer discretionary sector,ALTERNATE,IE00BKWQ0C77,CDIS,LONDON STOCK EXCHANGE,XLON,EUR,EUR,ETF,UCITS_ETF,UCITS_CONFIRMED_PRIMARY_EVIDENCE,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,CURRENT_CANDIDATE_UNVERIFIED,https://www.ssga.com/ie/en_gb/institutional/etfs/state-street-spdr-msci-europe-consumer-discretionary-ucits-etf-str-fp,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_CONSUMER_DISCRETIONARY,Broad Europe consumer discretionary sector,PREFERRED,IE00BKWQ0C77,CDCE,LONDON STOCK EXCHANGE,XLON,GBP,GBP,ETF,UCITS_ETF,UCITS_CONFIRMED_PRIMARY_EVIDENCE,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,CURRENT_CANDIDATE_UNVERIFIED,https://www.ssga.com/ie/en_gb/institutional/etfs/state-street-spdr-msci-europe-consumer-discretionary-ucits-etf-str-fp,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_CONSUMER_STAPLES,Broad consumer-staples sector,ALTERNATE,IE00BKWQ0D84,CSTP,London Stock Exchange,XLON,EUR,EUR,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D25%26size%3D100,2026-08-22,MEDIUM,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_CONSUMER_STAPLES,Broad consumer-staples sector,PREFERRED,IE00BKWQ0D84,CSPE,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D25%26size%3D100,2026-08-22,MEDIUM,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
