grouping_dimension,grouping_value,observation_count,unique_family_count,probability_slow_top5_4w,probability_slow_top3_4w,probability_slow_top1_4w,probability_slow_top5_8w,probability_slow_top3_8w,probability_slow_top1_8w,mean_forward_return_4w,mean_forward_return_8w,warning
FAST_SLOW_GAP_BAND,SLOW_SUBSTANTIALLY_AHEAD,1681,24,0.5889351576442594,0.4408090422367638,0.17132659131469363,0.6400951814396193,0.5110053539559786,0.23497917906008328,0.014560029919881022,0.029483954111667935,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FAST_RANK_CUMULATIVE,TOP_5_PERCENT,449,23,0.8307349665924276,0.755011135857461,0.5055679287305123,0.8530066815144766,0.7951002227171492,0.5634743875278396,0.004184747225669976,0.0056960503054329465,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FAST_RANK_CUMULATIVE,TOP_10_PERCENT,802,24,0.8129675810473815,0.7369077306733167,0.456359102244389,0.8403990024937655,0.7793017456359103,0.5199501246882793,0.007789970953438165,0.012200041493750055,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FAST_RANK_CUMULATIVE,TOP_20_PERCENT,1751,25,0.757852655625357,0.6350656767561393,0.33181039406053686,0.7989720159908623,0.6927470017133067,0.3963449457452884,0.009415017451051137,0.015504388631724382,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,REMAINDER|DETERIORATING|APPROXIMATELY_ALIGNED,2702,26,0.2783123612139156,0.1454478164322724,0.03256846780162842,0.3386380458919319,0.19763138415988157,0.0536639526276832,0.0061790651329458185,0.01624258023741812,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,REMAINDER|DETERIORATING|FAST_SUBSTANTIALLY_AHEAD,219,22,0.2511415525114155,0.0684931506849315,0.0182648401826484,0.3470319634703196,0.1735159817351598,0.0410958904109589,0.009105032368681779,0.01803500817696008,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,REMAINDER|DETERIORATING|SLOW_SUBSTANTIALLY_AHEAD,1384,24,0.5802023121387283,0.434971098265896,0.16907514450867053,0.634393063583815,0.5043352601156069,0.23265895953757226,0.0149580904950305,0.03111942077461595,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,REMAINDER|IMPROVING_10_TO_20PT|APPROXIMATELY_ALIGNED,638,26,0.35266457680250785,0.20532915360501566,0.05799373040752351,0.43103448275862066,0.2946708463949843,0.08620689655172414,0.005609145206204788,0.01449813762936275,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,REMAINDER|IMPROVING_10_TO_20PT|FAST_SUBSTANTIALLY_AHEAD,225,22,0.12444444444444444,0.05333333333333334,0.0044444444444444444,0.2,0.11555555555555555,0.022222222222222223,0.014035018729726314,0.02584500051609288,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,REMAINDER|IMPROVING_10_TO_20PT|SLOW_SUBSTANTIALLY_AHEAD,60,19,0.7,0.5333333333333333,0.16666666666666666,0.7,0.6,0.26666666666666666,0.02477563324682437,0.036424439872635286,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,REMAINDER|IMPROVING_GT20PT|APPROXIMATELY_ALIGNED,565,26,0.45663716814159294,0.25486725663716814,0.06548672566371681,0.5504424778761062,0.35752212389380533,0.10442477876106195,0.014689805549525592,0.023428848561590148,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,REMAINDER|IMPROVING_GT20PT|FAST_SUBSTANTIALLY_AHEAD,561,24,0.19073083778966132,0.07130124777183601,0.0106951871657754,0.27807486631016043,0.12834224598930483,0.035650623885918005,0.014535022311574698,0.026002108423541684,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,REMAINDER|IMPROVING_GT20PT|SLOW_SUBSTANTIALLY_AHEAD,37,12,0.6756756756756757,0.4864864864864865,0.1891891891891892,0.7297297297297297,0.6486486486486487,0.2702702702702703,0.01158730058643514,0.003421657702499209,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,REMAINDER|STABLE_0_TO_10PT|APPROXIMATELY_ALIGNED,1186,26,0.2984822934232715,0.15767284991568298,0.02866779089376054,0.3591905564924115,0.2166947723440135,0.05733558178752108,0.014259322628945057,0.021894469369597745,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,REMAINDER|STABLE_0_TO_10PT|FAST_SUBSTANTIALLY_AHEAD,180,22,0.17777777777777778,0.07777777777777778,0.03333333333333333,0.25555555555555554,0.16666666666666666,0.07222222222222222,0.02322959466791704,0.02163050558551229,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,REMAINDER|STABLE_0_TO_10PT|SLOW_SUBSTANTIALLY_AHEAD,189,24,0.5767195767195767,0.4126984126984127,0.13756613756613756,0.6243386243386243,0.47619047619047616,0.19047619047619047,0.009215353116764623,0.020443676811760562,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_10PCT|DETERIORATING|APPROXIMATELY_ALIGNED,62,20,0.8548387096774194,0.7903225806451613,0.5483870967741935,0.8548387096774194,0.8064516129032258,0.5645161290322581,0.001219619304328611,0.009439016205379529,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_10PCT|DETERIORATING|FAST_SUBSTANTIALLY_AHEAD,6,4,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.5,0.043997168197214366,0.045983825117530276,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_10PCT|IMPROVING_10_TO_20PT|APPROXIMATELY_ALIGNED,33,15,0.8484848484848485,0.8484848484848485,0.48484848484848486,0.8484848484848485,0.8484848484848485,0.5454545454545454,-0.008618490801471389,0.0021216055066476808,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_10PCT|IMPROVING_10_TO_20PT|FAST_SUBSTANTIALLY_AHEAD,11,8,0.6363636363636364,0.45454545454545453,0.0,0.7272727272727273,0.6363636363636364,0.2727272727272727,0.01823451043220582,0.012211397472500097,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_10PCT|IMPROVING_GT20PT|APPROXIMATELY_ALIGNED,92,22,0.8478260869565217,0.8260869565217391,0.43478260869565216,0.8695652173913043,0.8478260869565217,0.5217391304347826,0.02264241052919128,0.02762432747283747,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_10PCT|IMPROVING_GT20PT|FAST_SUBSTANTIALLY_AHEAD,56,18,0.6071428571428571,0.35714285714285715,0.08928571428571429,0.7142857142857143,0.5,0.17857142857142858,0.016191105334076326,0.016437284584702738,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_10PCT|STABLE_0_TO_10PT|APPROXIMATELY_ALIGNED,82,20,0.8048780487804879,0.7804878048780488,0.4878048780487805,0.8170731707317073,0.8048780487804879,0.5121951219512195,0.01662619063216184,0.03519169429605054,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_10PCT|STABLE_0_TO_10PT|FAST_SUBSTANTIALLY_AHEAD,11,7,0.8181818181818182,0.5454545454545454,0.2727272727272727,0.9090909090909091,0.6363636363636364,0.45454545454545453,-0.02686645961058637,-0.013058316997535235,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_20PCT|DETERIORATING|APPROXIMATELY_ALIGNED,192,24,0.8229166666666666,0.7083333333333334,0.3489583333333333,0.8541666666666666,0.7552083333333334,0.40625,0.00876477857498414,0.024709917986573536,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_20PCT|DETERIORATING|FAST_SUBSTANTIALLY_AHEAD,21,11,0.7619047619047619,0.42857142857142855,0.09523809523809523,0.8095238095238095,0.7619047619047619,0.23809523809523808,0.02330565560713112,0.06680097321534448,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_20PCT|DETERIORATING|SLOW_SUBSTANTIALLY_AHEAD,10,6,1.0,1.0,1.0,1.0,1.0,1.0,-0.0006474173633440495,0.03391455138238643,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_20PCT|IMPROVING_10_TO_20PT|APPROXIMATELY_ALIGNED,122,21,0.8524590163934426,0.6557377049180327,0.2459016393442623,0.8770491803278688,0.7213114754098361,0.28688524590163933,0.008542466335502616,0.015325036195000884,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_20PCT|IMPROVING_10_TO_20PT|FAST_SUBSTANTIALLY_AHEAD,47,17,0.48936170212765956,0.2978723404255319,0.02127659574468085,0.5957446808510638,0.40425531914893614,0.10638297872340426,0.016001609804260478,0.013505199108071842,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_20PCT|IMPROVING_GT20PT|APPROXIMATELY_ALIGNED,197,24,0.7563451776649747,0.5989847715736041,0.25380710659898476,0.7817258883248731,0.6751269035532995,0.3350253807106599,0.018832333295068792,0.01605372716007065,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_20PCT|IMPROVING_GT20PT|FAST_SUBSTANTIALLY_AHEAD,147,23,0.4557823129251701,0.23809523809523808,0.06802721088435375,0.6394557823129252,0.3469387755102041,0.1564625850340136,0.004994527145007638,0.007887683786835796,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_20PCT|IMPROVING_GT20PT|SLOW_SUBSTANTIALLY_AHEAD,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.08404746209624259,0.0589980224126565,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_20PCT|STABLE_0_TO_10PT|APPROXIMATELY_ALIGNED,169,24,0.7218934911242604,0.5976331360946746,0.22485207100591717,0.7396449704142012,0.6272189349112426,0.27218934911242604,0.01123726151808257,0.021042882457481604,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_20PCT|STABLE_0_TO_10PT|FAST_SUBSTANTIALLY_AHEAD,43,17,0.5813953488372093,0.3953488372093023,0.13953488372093023,0.5813953488372093,0.4418604651162791,0.18604651162790697,-0.0036527747069959446,0.012724048465122675,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_5PCT|DETERIORATING|APPROXIMATELY_ALIGNED,24,7,0.9583333333333334,0.9166666666666666,0.75,0.9583333333333334,0.9166666666666666,0.7916666666666666,-0.026457317155407136,-0.04552658141927722,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_5PCT|DETERIORATING|FAST_SUBSTANTIALLY_AHEAD,3,2,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.006919702229592262,0.017601406672380488,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_5PCT|IMPROVING_10_TO_20PT|APPROXIMATELY_ALIGNED,69,20,0.8405797101449275,0.8405797101449275,0.6231884057971014,0.855072463768116,0.855072463768116,0.6376811594202898,0.005576430340965405,0.03685616437164599,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_5PCT|IMPROVING_10_TO_20PT|FAST_SUBSTANTIALLY_AHEAD,24,11,0.875,0.5416666666666666,0.25,0.875,0.75,0.3333333333333333,-0.008569564788415085,0.004376334863900687,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_5PCT|IMPROVING_GT20PT|APPROXIMATELY_ALIGNED,113,21,0.8053097345132744,0.7964601769911505,0.5575221238938053,0.8407079646017699,0.831858407079646,0.6548672566371682,0.020798277172998807,0.022384840312827007,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_5PCT|IMPROVING_GT20PT|FAST_SUBSTANTIALLY_AHEAD,71,15,0.7746478873239436,0.5352112676056338,0.16901408450704225,0.8450704225352113,0.6056338028169014,0.19718309859154928,0.0035156810279266667,-0.01452835322537345,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_5PCT|STABLE_0_TO_10PT|APPROXIMATELY_ALIGNED,113,19,0.8407079646017699,0.8407079646017699,0.6991150442477876,0.8407079646017699,0.8407079646017699,0.7345132743362832,0.0005264901438896229,-0.0016131745680182455,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
JOINT,TOP_5PCT|STABLE_0_TO_10PT|FAST_SUBSTANTIALLY_AHEAD,32,8,0.84375,0.65625,0.15625,0.84375,0.71875,0.28125,-0.009616723202884484,-0.012390919944788081,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
