test_type,simulation_id,random_seed,valid_path,cagr,excess_vs_equal_family_pool_cagr,excess_vs_global_cagr,selected_vs_unselected_cagr_spread,monthly_endpoint_maximum_drawdown,switches,warning
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,35,20260823,YES,0.1838558134065995,0.07395617062209148,0.06869126519368596,0.07095484816246977,-0.2220765530461034,56,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,36,20260823,NO,,,,,,7,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,37,20260823,YES,0.027592628879470782,-0.08230701390503725,-0.08757191933344277,-0.09287331811300326,-0.3385432305514581,54,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,38,20260823,NO,,,,,,25,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,39,20260823,NO,,,,,,4,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,40,20260823,YES,0.11484480524527196,0.00494516246076393,-0.0003197429676415897,-0.003498508350390006,-0.3356197330515268,57,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,41,20260823,NO,,,,,,4,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,42,20260823,NO,,,,,,3,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,43,20260823,YES,-0.09089804379084188,-0.2007976865753499,-0.20606259200375543,-0.21799595321568066,-0.4529615694362852,57,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,44,20260823,YES,0.020983384177826192,-0.08891625860668184,-0.09418116403508736,-0.09870072337660551,-0.3849306823001474,56,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
