research_group_id,formation_horizon_sessions,global_parent_state,forward_horizon_sessions,family_observation_count,date_observation_count,mean_forward_relative_global,global_relative_hac_p_value,mean_forward_relative_parent,parent_relative_hac_p_value,parent_mapping_frozen_before_a3r1,warning
GEOGRAPHY,21,PARENT_ONLY,5,1147,447,-0.00017624828696995704,0.7654888388043111,0.00018851835992727558,0.6369946507838027,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,PARENT_ONLY,10,1084,428,-0.0008503486471899913,0.40584356168191404,-1.878430826373928e-05,0.9763806346134697,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,PARENT_ONLY,21,949,379,-0.002272317533575951,0.22915463602119057,0.0001530225394583839,0.8975431969230379,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,PARENT_ONLY,42,719,306,-0.00020165877830429518,0.9604660442117566,0.0021975582349474335,0.2538018102710822,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,PARENT_ONLY,63,581,262,0.0011749586361781104,0.8314062681868543,0.002767677761347941,0.38291969098162115,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,PARENT_ONLY,126,385,177,-0.010914041969213804,0.20854243743512424,0.008026000225393562,0.29883762517198487,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,BOTH_STRONG,5,1048,426,-0.002453061287432839,0.052907194273118914,-0.0019519506695510288,0.035076954198878185,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,BOTH_STRONG,10,984,404,-0.003406029980136652,0.0955104927762368,-0.002514437848781919,0.06625560983417708,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,BOTH_STRONG,21,824,352,-0.004622253683585927,0.24883136030063735,-0.00473506073777319,0.05293918212756625,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,BOTH_STRONG,42,606,272,-0.006113720390234383,0.4139043239061879,-0.005968638524408815,0.20596014372463234,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,BOTH_STRONG,63,469,220,-0.007684013657529532,0.5489927245710053,-0.003698696989872692,0.6586779656220272,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,BOTH_STRONG,126,198,115,-0.032235127650390195,0.1514346253644423,0.0022394526255106986,0.9198891667643123,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,GLOBAL_ONLY,5,226,195,0.0027068042726232444,0.14864522869949187,0.002444696983346919,0.08403734892134744,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,GLOBAL_ONLY,10,214,185,0.0026147419869152716,0.45895509745872864,0.0019457995057307498,0.4024838447247012,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,GLOBAL_ONLY,21,177,156,-0.0033584968018581297,0.5534020285044259,-0.0022231933429211017,0.6552227129454593,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,GLOBAL_ONLY,42,124,112,-0.00631228932608489,0.39368049012982653,-0.009481453701823269,0.12169363214450106,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,GLOBAL_ONLY,63,105,96,-0.00711068214961124,0.3428798489265358,-0.011121272157592899,0.1242638534190031,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,GLOBAL_ONLY,126,51,47,-0.04387600651090142,0.14009448727288507,0.008876590202914484,0.5739859551615629,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,NEITHER_STRONG,5,1162,463,0.0009298149240848735,0.4549818718539861,0.0014172514932299706,0.08966947885772246,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,NEITHER_STRONG,10,1087,440,0.0009447907651152605,0.6588211792958918,0.0016759565122249015,0.20107988243210373,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,NEITHER_STRONG,21,915,381,-0.0026252316070455124,0.5762120944256237,0.0005363612181503154,0.8393507851207995,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,NEITHER_STRONG,42,661,297,-0.010193153701856202,0.2449482682109877,-0.002216262287494174,0.6475331550822638,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,NEITHER_STRONG,63,499,242,-0.017870350789182497,0.18815988130795225,-0.006719750702492533,0.3612598617057682,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,NEITHER_STRONG,126,228,141,-0.04380775231755763,0.256267841472149,-0.0062451920270204546,0.6618718964066762,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,PARENT_ONLY,5,235,190,-0.0025861027586070967,0.2912719084735096,-0.0035622187156249003,0.020166033421575795,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,PARENT_ONLY,10,218,176,-0.006562454602132522,0.06941173152392174,-0.004586462301222276,0.031475571777784435,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,PARENT_ONLY,21,180,147,-0.002148806013420574,0.7895645121760475,-0.00574728658821987,0.1367136909946964,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,PARENT_ONLY,42,128,111,-0.014240658570557148,0.2812674933338618,-0.010829945726489185,0.08183065342528205,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,PARENT_ONLY,63,100,88,-0.019315849498006642,0.29974308299630037,3.5552175697102e-05,0.9970821860748774,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,PARENT_ONLY,126,54,51,-0.09357041893810106,0.05590513969173788,-0.032508593113829407,0.017858510759255753,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,BOTH_STRONG,5,4091,549,-0.00027864926521287446,0.4621747144608991,0.00010242817294753181,0.7705092459534496,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,BOTH_STRONG,10,3833,525,-0.0005419392712699143,0.39871012128951044,0.0003298429264506928,0.5831876823390003,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,BOTH_STRONG,21,3233,465,-0.0005336953776666171,0.678360406136302,0.0009624561865125994,0.41780573978631375,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,BOTH_STRONG,42,2401,376,-1.607194153154972e-05,0.9948937370063206,0.002636915164267718,0.2302872383845067,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,BOTH_STRONG,63,1933,318,-0.00020837568081609147,0.9544271791592811,0.004253190970265686,0.16094189839581707,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,BOTH_STRONG,126,818,202,-0.02119135757100404,0.04297985223080291,-0.005895033224988798,0.5934320287680321,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,GLOBAL_ONLY,5,357,200,-0.0012391793780613851,0.29532956964684065,-0.0007317970987538788,0.473929080520728,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,GLOBAL_ONLY,10,335,189,0.0007853053950987811,0.674184087882079,0.0005759432738563228,0.7032596776420483,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,GLOBAL_ONLY,21,276,164,0.004404015047436068,0.20695029689452116,0.0028883536691963006,0.21205528312001876,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,GLOBAL_ONLY,42,216,124,0.006008887796337063,0.31853207100188763,0.00684882346751346,0.028631827711695545,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,GLOBAL_ONLY,63,171,104,0.004898005395815197,0.28146901787604295,0.011183071540309382,0.005582321612663058,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,GLOBAL_ONLY,126,80,60,-0.005168031385901445,0.2695228237654581,0.01479356783025697,0.012493520263863243,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,NEITHER_STRONG,5,4170,553,1.623642719166422e-05,0.9726253876760597,0.0003618193477368249,0.4044086696265773,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,NEITHER_STRONG,10,3940,527,-0.0008330549643318062,0.26168981575656536,-0.0001115487462208641,0.8690522879578018,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,NEITHER_STRONG,21,3338,464,-0.0029353569260198863,0.0841614013734733,-0.0015068661434812752,0.316258417634362,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,NEITHER_STRONG,42,2455,376,-0.0059906609331707465,0.1439233651241215,-0.0038416529381484032,0.29282401136914216,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,NEITHER_STRONG,63,1928,321,-0.00957282023351354,0.20298402945227867,-0.00594411814973547,0.39211440949138354,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,NEITHER_STRONG,126,883,212,-0.02484677329079023,0.10188115002570801,-0.012350701090557935,0.4270127411053244,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,PARENT_ONLY,5,549,257,-0.00012044931929820882,0.8982146723405953,0.000567424255877547,0.47678920475859876,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,PARENT_ONLY,10,513,245,0.0004253802791640406,0.7583143725837,0.0019425771430443002,0.09589933953262351,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,PARENT_ONLY,21,433,215,0.0014023529377532895,0.5797597652876809,0.007013511245323824,0.0012133440248146246,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,PARENT_ONLY,42,328,170,0.0023241973755302662,0.5539300338211484,0.011291730247642243,0.0008604440639352703,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,PARENT_ONLY,63,252,133,0.0024562253103855456,0.7254584989346925,0.015436918600057213,0.008768929709527725,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SECTOR,21,PARENT_ONLY,126,139,75,0.00127370545171876,0.9373348265996799,0.04593702633778359,0.014029825986836235,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
THEME,21,BOTH_STRONG,5,1285,440,-0.0014816632527741894,0.05179266585776079,-0.0013014976382301213,0.08714427427711517,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
THEME,21,BOTH_STRONG,10,1200,414,-0.001729880683828003,0.1725675283059056,-0.0015303502581542146,0.18551685686206854,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
THEME,21,BOTH_STRONG,21,998,352,-0.0029157373412698334,0.24563057480763384,-0.0024590566811897234,0.2959197362377697,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
THEME,21,BOTH_STRONG,42,766,274,-0.0022767101790482362,0.5548972712071729,-0.0018771639656025275,0.6422674917259105,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
THEME,21,BOTH_STRONG,63,606,220,-0.002403304479605334,0.6719460211803854,-0.002040137820233066,0.7057836285376755,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
THEME,21,BOTH_STRONG,126,216,109,-0.018371685002208663,0.015232138078193711,-0.013809961763551825,0.28791736386682465,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
