module_id,exit_event_id,family,review_date,execution_date,action_type,from_weight,to_weight,risky_weight_reduced,counterfactual_end_date,reentry_review_date,xlon_sessions_until_reentry_or_cutoff,frozen_baseline_switch_review_date,frozen_baseline_switch_execution_proxy_date,selected_asset_return_if_held,actual_cash_return_on_reduced_capital,avoided_downside,foregone_upside,incremental_cost,net_exit_value,whipsaw_within_42_sessions,same_close_execution,warning
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_029,GLOBAL_GOLD_MINERS,2024-09-30,2024-10-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2024-12-02,2025-03-31,44,2024-11-29,2024-12-02,-0.02666666666666684,0.008075821589066834,0.0,0.0,0.0020194716354496006,-0.0020194716354496006,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_030,GLOBAL_GOLD_MINERS,2024-11-08,2024-11-11,ABS_BELOW_EMA50,1.0,0.0,1.0,2024-12-02,2025-03-31,15,2024-11-29,2024-12-02,0.020186335403726607,0.002645980936970993,0.0,0.017540354466755614,0.0020204502333377172,-0.01956080470009333,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_031,GLOBAL_SOFTWARE,2024-11-29,2024-12-02,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2025-03-03,,62,2025-02-28,2025-03-03,-0.04709480122324183,0.01135464158633348,0.0,0.0,0.002020437558278181,-0.002020437558278181,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_032,GLOBAL_SOFTWARE,2025-02-21,2025-02-24,ABS_BELOW_EMA50,1.0,0.0,1.0,2025-03-03,,5,2025-02-28,2025-03-03,-0.02509229710280958,0.0008362276238267352,0.025928524726636315,0.0,0.0020209517916358216,0.023907572935000492,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_033,EUROPE_BANKS,2025-02-28,2025-03-03,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2025-04-01,2025-06-30,21,2025-03-31,2025-04-01,0.03261254874158026,0.003469361387341996,0.0,0.0,0.0020209766786640727,-0.0020209766786640727,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_034,GLOBAL_GOLD_MINERS,2025-03-31,2025-04-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2025-06-02,2025-05-30,40,2025-06-30,2025-07-01,0.11874420759962923,0.007272696243354915,0.0,0.0,0.0040407106381141564,-0.0040407106381141564,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_035,GLOBAL_GOLD_MINERS,2025-05-16,2025-05-19,ABS_BELOW_EMA50,1.0,0.0,1.0,2025-06-02,2025-05-30,9,2025-06-30,2025-07-01,0.1252621766487998,0.0015833192520748884,0.0,0.1236788573967249,0.0020205569769488705,-0.12569941437367377,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_036,GLOBAL_GOLD_MINERS,2025-05-30,2025-06-02,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2025-07-01,,21,2025-06-30,2025-07-01,-0.0449414932173553,0.0032852256092283927,0.0,0.0,0.002020566034989806,-0.002020566034989806,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_037,GLOBAL_GOLD_MINERS,2025-06-27,2025-06-30,ABS_BELOW_EMA50,1.0,0.0,1.0,2025-07-01,,1,2025-06-30,2025-07-01,0.011626631567401624,0.00011317362927565355,0.0,0.01151345793812597,0.002021828266899974,-0.013535286205025945,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_038,EUROPE_BANKS,2025-06-30,2025-07-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2025-09-01,,43,2025-08-29,2025-09-01,0.1432019934589619,0.006875537307136748,0.0,0.0,0.0020218700142082624,-0.0020218700142082624,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_039,GLOBAL_SILVER_MINERS,2025-08-29,2025-09-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2025-12-01,2025-11-28,65,2026-03-31,2026-04-01,0.35366739288307913,0.009749242669405023,0.0,0.0,0.004038338495286789,-0.004038338495286789,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_040,GLOBAL_SILVER_MINERS,2025-11-07,2025-11-10,ABS_BELOW_EMA50,1.0,0.0,1.0,2025-12-01,2025-11-28,15,2026-03-31,2026-04-01,0.14801888729213752,0.00224200220598747,0.0,0.14577688508615005,0.00201632298239968,-0.14779320806854973,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_041,GLOBAL_SILVER_MINERS,2025-11-28,2025-12-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2026-04-01,,84,2026-03-31,2026-04-01,0.21852646638054285,0.01231586887703462,0.0,0.0,0.0020163193732295674,-0.0020163193732295674,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
