signal_id,forward_horizon_sessions,window_id,metric,observation_count,hac_maximum_lag_weeks,estimate,hac_standard_error,hac_z_statistic,raw_two_sided_p_value,warning,bh_q_value_within_window_metric
M2_INTERMEDIATE_5H,42,LATEST_5Y,top_quintile_advantage,251,9,0.0022546404247276736,0.006097133778648082,0.3697869370397176,0.7115412491508979,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9148387489082973
M2_INTERMEDIATE_5H,42,LATEST_5Y,rank1_advantage,251,9,0.010510580729321838,0.01222892611326698,0.859485177354949,0.39007289435383496,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.99006917693114
M2_INTERMEDIATE_5H,42,LATEST_3Y,ic,148,9,0.09631962195356798,0.05838802082626028,1.6496469753646417,0.09901516117438702,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.12532790224822193
M2_INTERMEDIATE_5H,42,LATEST_3Y,top_quintile_advantage,148,9,0.006852981688204231,0.009225685893686636,0.7428154141790038,0.45759344194122775,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.5994172833460463
M2_INTERMEDIATE_5H,42,LATEST_3Y,rank1_advantage,148,9,0.004374735478300371,0.015690766770566963,0.2788095408126633,0.7803909921795369,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9921073414003485
M2_INTERMEDIATE_5H,63,FULL_HISTORY,ic,617,13,0.051584728922816445,0.03283936309589739,1.5708200177993374,0.1162244609624119,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.5144777280777408
M2_INTERMEDIATE_5H,63,FULL_HISTORY,top_quintile_advantage,617,13,0.0017849262934869921,0.004855045607962727,0.36764356869470943,0.7131390234499264,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9585258752656376
M2_INTERMEDIATE_5H,63,FULL_HISTORY,rank1_advantage,617,13,0.007806364588039183,0.008740339609900383,0.8931420215293161,0.37178112202946734,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9540368020583583
M2_INTERMEDIATE_5H,63,POST_2020,ic,334,13,0.06694370525059884,0.04123203215698525,1.6235849107732538,0.10446442798474442,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.2003476605357889
M2_INTERMEDIATE_5H,63,POST_2020,top_quintile_advantage,334,13,0.007615659775448639,0.007361082175398413,1.0345842627461834,0.30086310657015947,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.8149905825958204
