selection_rule,weighting_method,friction_bps_one_way,fixed_fee_per_trade_leg_gbp,sleeve_size_gbp,net_cagr,maximum_drawdown,sharpe_zero_cash_hurdle,annual_turnover_traded_notional,trade_legs,total_transaction_cost_rate,warning
TOP_2,RANK_DECAY,20,3.99,100000,0.20521125243300609,-0.30235239212027487,0.6933636128168725,9.75390301137643,168,0.10120683739931981,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,RANK_DECAY,20,3.99,250000,0.2057631904557513,-0.3023440819637183,0.6952255112632114,9.75390301137643,168,0.09892499946048958,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,RANK_DECAY,20,3.99,500000,0.20594556330045766,-0.3023413406586213,0.6958406884656925,9.75390301137643,168,0.09817123637908313,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,RANK_DECAY,40,3.99,100000,0.18165416581406224,-0.30236615028306846,0.6140001976352595,9.75390301137643,168,0.19937407010895777,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,RANK_DECAY,40,3.99,250000,0.18230357597847346,-0.3023557770127292,0.6161994851735295,9.75390301137643,168,0.19664131337167326,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,RANK_DECAY,40,3.99,500000,0.18251799756539344,-0.3023523587663963,0.6169256087277831,9.75390301137643,168,0.19573931367125166,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SCORE_PROPORTIONAL_CAPPED,10,3.99,100000,0.2171286237262926,-0.3023457794104132,0.7333258482011463,9.75390301137643,168,0.05217227565707242,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SCORE_PROPORTIONAL_CAPPED,10,3.99,250000,0.21763768877754597,-0.3023383391952267,0.7350388912042997,9.75390301137643,168,0.05008616792418318,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SCORE_PROPORTIONAL_CAPPED,10,3.99,500000,0.21780595210309261,-0.30233588368934483,0.7356050748246261,9.75390301137643,168,0.04939681183854594,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SCORE_PROPORTIONAL_CAPPED,20,3.99,100000,0.2052112524330072,-0.30235239212027476,0.6933636128168764,9.753903011376432,168,0.10120683739931978,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SCORE_PROPORTIONAL_CAPPED,20,3.99,250000,0.2057631904557522,-0.3023440819637181,0.6952255112632144,9.75390301137643,168,0.09892499946048958,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
