module_id,review_date,action_type,family,from_weight,to_weight,leadership_state,reason,position_return,mfe,mae,giveback_ratio
SCALE_IN_STARTER_A_WEEKLY,2025-06-06,STARTER_FAILED,GLOBAL_URANIUM_NUCLEAR,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-06-13,STARTER_OPEN,GLOBAL_URANIUM_NUCLEAR,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-06-20,NONE,GLOBAL_URANIUM_NUCLEAR,0.25,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-06-27,NONE,GLOBAL_URANIUM_NUCLEAR,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-07-04,STARTER_OPEN,GLOBAL_URANIUM_NUCLEAR,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-07-11,STARTER_FAILED,GLOBAL_URANIUM_NUCLEAR,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-07-25,STARTER_OPEN,GLOBAL_SOLAR,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-07-31,STARTER_FAILED,GLOBAL_SOLAR,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-05-15,STARTER_OPEN,GLOBAL_CYBERSECURITY,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-05-22,NONE,GLOBAL_CYBERSECURITY,0.25,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-05-29,NONE,GLOBAL_CYBERSECURITY,0.25,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-06-05,NONE,GLOBAL_CYBERSECURITY,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-06-12,NONE,GLOBAL_CYBERSECURITY,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-06-19,NONE,GLOBAL_CYBERSECURITY,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-06-26,NONE,GLOBAL_CYBERSECURITY,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-06-30,NONE,GLOBAL_CYBERSECURITY,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-07-03,NONE,GLOBAL_CYBERSECURITY,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-07-10,NONE,GLOBAL_CYBERSECURITY,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-07-17,NONE,GLOBAL_CYBERSECURITY,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-07-24,NONE,GLOBAL_CYBERSECURITY,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-07-31,STARTER_FAILED,GLOBAL_CYBERSECURITY,0.5,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_B_WEEKLY,2022-11-11,STARTER_OPEN,GLOBAL_GOLD_MINERS,0.0,0.25,EMERGING,STARTER_B_FROZEN_LADDER,,,,
SCALE_IN_STARTER_B_WEEKLY,2022-11-18,NONE,GLOBAL_GOLD_MINERS,0.25,0.25,EMERGING,STARTER_B_FROZEN_LADDER,,,,
SCALE_IN_STARTER_B_WEEKLY,2022-11-25,STARTER_FAILED,GLOBAL_GOLD_MINERS,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_B_WEEKLY,2023-07-28,STARTER_OPEN,CHINA_INTERNET,0.0,0.25,EMERGING,STARTER_B_FROZEN_LADDER,,,,
SCALE_IN_STARTER_B_WEEKLY,2023-07-31,NONE,CHINA_INTERNET,0.25,0.25,EMERGING,STARTER_B_FROZEN_LADDER,,,,
SCALE_IN_STARTER_B_WEEKLY,2023-08-04,STARTER_FAILED,CHINA_INTERNET,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_B_WEEKLY,2024-07-19,STARTER_OPEN,GLOBAL_GENOMICS,0.0,0.25,EMERGING,STARTER_B_FROZEN_LADDER,,,,
SCALE_IN_STARTER_B_WEEKLY,2024-07-26,NONE,GLOBAL_GENOMICS,0.25,0.25,EMERGING,STARTER_B_FROZEN_LADDER,,,,
SCALE_IN_STARTER_B_WEEKLY,2025-05-30,STARTER_OPEN,GLOBAL_URANIUM_NUCLEAR,0.0,0.25,EMERGING,STARTER_B_FROZEN_LADDER,,,,
SCALE_IN_STARTER_B_WEEKLY,2025-06-06,STARTER_FAILED,GLOBAL_URANIUM_NUCLEAR,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_B_WEEKLY,2025-06-13,STARTER_OPEN,GLOBAL_URANIUM_NUCLEAR,0.0,0.25,EMERGING,STARTER_B_FROZEN_LADDER,,,,
SCALE_IN_STARTER_B_WEEKLY,2025-06-20,NONE,GLOBAL_URANIUM_NUCLEAR,0.25,0.5,CONFIRMING,STARTER_B_FROZEN_LADDER,,,,
SCALE_IN_STARTER_B_WEEKLY,2025-06-27,NONE,GLOBAL_URANIUM_NUCLEAR,0.5,0.5,CONFIRMING,STARTER_B_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_MONTHLY,2022-11-30,STARTER_OPEN,GLOBAL_GOLD_MINERS,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_MONTHLY,2022-12-30,NONE,GLOBAL_GOLD_MINERS,0.25,0.75,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_MONTHLY,2023-01-31,NONE,GLOBAL_GOLD_MINERS,0.75,0.75,OTHER,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_MONTHLY,2023-02-28,STARTER_FAILED,GLOBAL_GOLD_MINERS,0.75,0.0,FAILED,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_MONTHLY,2023-07-31,STARTER_OPEN,CHINA_INTERNET,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_MONTHLY,2023-08-31,STARTER_FAILED,CHINA_INTERNET,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
