signal_id,signal_family,registry_class,universe_id,cohort_id,frequency_id,authorised_family_count,historical_eligibility_warning,date_pair_count,mean_rank_autocorrelation,median_rank_autocorrelation,mean_signal_autocorrelation,average_absolute_rank_change,mean_top_bucket_membership_turnover,mean_top_bucket_duration_observations,median_top_bucket_duration_observations,top_bucket_duration_run_count,status
RISK_ADJ_MOM_252_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9550252362869956,0.9754901960784311,0.9727742334771122,0.04864156066917507,0.1715556685307575,8.572519083969466,3.0,131,TESTED
RISK_ADJ_MOM_252_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.8698667308571365,0.8999999999999999,0.9005889125319511,0.09665240884570475,0.3575213675213675,3.9384615384615387,2.0,65,TESTED
MOM_105,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8907784640610562,0.9278195488721804,0.9281744406635887,0.08109121693735226,0.27992794444759506,5.086854460093897,2.0,426,TESTED
MOM_105,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.6943281779675096,0.7714285714285714,0.7269889670066023,0.1498502921384546,0.5240540323873657,2.4928909952606637,2.0,211,TESTED
MOM_147,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9144782170455656,0.9428571428571428,0.9462630187524103,0.06598125835554243,0.2516753441753442,6.00374531835206,3.0,267,TESTED
MOM_147,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.7682059691728281,0.8585634138265716,0.7916230874638439,0.1240761501821953,0.49884137729882405,2.7753623188405796,2.0,138,TESTED
MOM_210,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9415963823520739,0.9690402476780186,0.9697045684869964,0.051142725833666615,0.1899425287356322,8.102739726027398,3.0,146,TESTED
MOM_210,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.8565529682422311,0.8988648090815277,0.8804762124401795,0.0949970477318798,0.3615138592750533,4.21875,2.0,64,TESTED
MOM_294,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9562566221980702,0.9799193515202518,0.9729178022997587,0.04373620119200469,0.14880077030812328,10.288461538461538,3.0,104,TESTED
MOM_294,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.8730728490703386,0.9350649350649352,0.9032778635921289,0.08748934785826376,0.3676492819349961,4.066666666666666,2.0,60,TESTED
ABS_POS_210,ABSOLUTE_MOMENTUM_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8493666460597514,1.0,0.8468301537410099,0.0435577336550455,0.39808201058201065,3.9339622641509435,4.0,106,TESTED
ABS_POS_210,ABSOLUTE_MOMENTUM_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.7147600593674133,0.7526912322677698,0.7195693986374879,0.07692972211434487,0.6093474426807761,2.1176470588235294,1.0,51,TESTED
ABS_POS_294,ABSOLUTE_MOMENTUM_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9134588996571692,1.0,0.909803657959954,0.029883386723041052,0.3267286366601435,4.30379746835443,2.0,79,TESTED
ABS_POS_294,ABSOLUTE_MOMENTUM_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.8374354035721454,1.0,0.8275826085114923,0.055511869021930935,0.6631578947368421,1.9230769230769231,2.0,39,TESTED
ABOVE_GBP_CASH_210,CASH_RELATIVE_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8451404195518898,1.0,0.8422076466804926,0.043325009461570016,0.3680415263748597,4.209090909090909,3.0,110,TESTED
