economic_exposure_family_id,economic_exposure_name,preferred_or_alternate,isin,ticker,exchange,mic,listing_currency,price_unit,instrument_type,product_structure,ucits_status,LSE_current_status,UK_retail_disclosure_status,public_ISA_rules_status,current_uk_retail_eligibility,isa_eligibility,kid_retail_document_evidence,kid_retail_document_url,structural_eligibility,eligibility_evidence_ids,public_evidence_URLs,public_evidence_date,public_evidence_confidence,current_eligibility_not_historical,warning
EUROPE_CONSUMER_STAPLES,Broad consumer-staples sector,ALTERNATE,IE00BKWQ0D84,CSTP,London Stock Exchange,XLON,EUR,EUR,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,NOT_VERIFIED,NOT_DETERMINED,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,EVD-99545ABABD127584,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D25%26size%3D100,2026-08-22,MEDIUM,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_CONSUMER_STAPLES,Broad consumer-staples sector,PREFERRED,IE00BKWQ0D84,CSPE,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,NOT_VERIFIED,NOT_DETERMINED,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,EVD-99545ABABD127584,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D25%26size%3D100,2026-08-22,MEDIUM,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_EX_UK,Developed Europe excluding the UK,ALTERNATE,IE00BGV5VM45,XUEK,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,NOT_VERIFIED,NOT_DETERMINED,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,EVD-8D9DB0D7594E3A83,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D32%26size%3D100,2026-08-22,MEDIUM,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_EX_UK,Developed Europe excluding the UK,PREFERRED,IE00BYX5K108,MXUK,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,NOT_VERIFIED,NOT_DETERMINED,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,EVD-EB0762A0D9B5DA0F,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D12%26size%3D100,2026-08-22,MEDIUM,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_INFRASTRUCTURE,Europe listed infrastructure,ALTERNATE,IE000TIZ5AP4,FTIE,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,NOT_VERIFIED,NOT_DETERMINED,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,EVD-C700056C10DB9EF8,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D4%26size%3D100,2026-08-22,MEDIUM,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_INFRASTRUCTURE,Europe listed infrastructure,PREFERRED,IE000PTMIE90,BLDR,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,NOT_VERIFIED,NOT_DETERMINED,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,EVD-0FFBE289C2E411CD;EVD-518758644CF54D3B;EVD-A2829503C96506F8,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D13%26size%3D100,2026-08-22,MEDIUM,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROZONE,Eurozone equities,ALTERNATE,IE00B53L3W79,CSX5,London Stock Exchange,XLON,EUR,EUR,ETF,Physical,YES,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,ELIGIBLE_DOCUMENTED_CURRENT_ISSUER_PAGE,YES,CURRENT_DOCUMENT_HTTP_VERIFIED,https://www.ishares.com/gls-download/literature/kiid/ucits_kiid-ishares-core-euro-stoxx-50-ucits-etf-eur-acc-gb-ie00b53l3w79-en.pdf,ELIGIBLE_LONG_ONLY_STRUCTURE,EVD-0FFBE289C2E411CD;EVD-4450A2C52AE82BB7;EVD-A1E8D9170BEF35C7;EVD-BCFFF53E5CE208CE,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D18%26size%3D100;https://www.ishares.com/gls-download/literature/kiid/ucits_kiid-ishares-core-euro-stoxx-50-ucits-etf-eur-acc-gb-ie00b53l3w79-en.pdf,2026-08-22,HIGH,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROZONE,Eurozone equities,PREFERRED,IE00B53L3W79,CS51,London Stock Exchange,XLON,GBP,GBX,ETF,Physical,YES,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,ELIGIBLE_DOCUMENTED_CURRENT_ISSUER_PAGE,YES,CURRENT_DOCUMENT_HTTP_VERIFIED,https://www.ishares.com/gls-download/literature/kiid/ucits_kiid-ishares-core-euro-stoxx-50-ucits-etf-eur-acc-gb-ie00b53l3w79-en.pdf,ELIGIBLE_LONG_ONLY_STRUCTURE,EVD-0FFBE289C2E411CD;EVD-4450A2C52AE82BB7;EVD-A1E8D9170BEF35C7;EVD-BCFFF53E5CE208CE,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D18%26size%3D100;https://www.ishares.com/gls-download/literature/kiid/ucits_kiid-ishares-core-euro-stoxx-50-ucits-etf-eur-acc-gb-ie00b53l3w79-en.pdf,2026-08-22,HIGH,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROZONE_USD_HEDGED,Eurozone equities hedged to USD,PREFERRED,IE00BWZN1T31,EMUU,London Stock Exchange,XLON,USD,USD,ETF,Physical,YES,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,ELIGIBLE_DOCUMENTED_CURRENT_ISSUER_PAGE,YES,CURRENT_DOCUMENT_HTTP_VERIFIED,https://www.ishares.com/gls-download/literature/kiid/ucits_kiid-ishares-msci-emu-usd-hedged-ucits-etf-acc-gb-ie00bwzn1t31-en.pdf,ELIGIBLE_LONG_ONLY_STRUCTURE,EVD-0FFBE289C2E411CD;EVD-5B59C5D002034062;EVD-68AF95DBD271E81A;EVD-BCFFF53E5CE208CE,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D18%26size%3D100;https://www.ishares.com/gls-download/literature/kiid/ucits_kiid-ishares-msci-emu-usd-hedged-ucits-etf-acc-gb-ie00bwzn1t31-en.pdf,2026-08-22,HIGH,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUR_OVERNIGHT_CASH,Euro overnight-rate exposure,ALTERNATE,LU3025345516,CSHE,London Stock Exchange,XLON,EUR,EUR,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,NOT_VERIFIED,NOT_DETERMINED,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,EVD-11EF9403F87612E7,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D2%26size%3D100,2026-08-22,MEDIUM,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
