research_group_id,formation_horizon_sessions,global_parent_state,forward_horizon_sessions,family_observation_count,date_observation_count,mean_forward_relative_global,global_relative_hac_p_value,mean_forward_relative_parent,parent_relative_hac_p_value,parent_mapping_frozen_before_a3r1,warning
GEOGRAPHY,21,GLOBAL_ONLY,42,1024,503,-0.005334990348001404,0.050195119772892365,0.0011800085261372219,0.5273867129347356,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,GLOBAL_ONLY,63,1008,491,-0.006061068197607778,0.08610261399633655,0.003296859960366363,0.20526643572927283,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,GLOBAL_ONLY,126,982,477,-0.013771500235511179,0.004108181880770493,0.005286685297369836,0.2180851827793684,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,NEITHER_STRONG,5,6110,732,3.253104671051245e-05,0.9169628323474589,0.00036068773552596945,0.12766810683295646,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,NEITHER_STRONG,10,6088,727,-0.000125631465876879,0.7918334536007016,0.00042594984117177173,0.27219667940444514,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,NEITHER_STRONG,21,6028,718,-2.242612347314295e-05,0.9806202731097026,0.0009715672256694046,0.1818122521965262,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,NEITHER_STRONG,42,5971,709,-0.0018553927757303957,0.25678592098805075,-0.00019267864071951667,0.8770796342924838,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,NEITHER_STRONG,63,5911,697,-0.004264038484717614,0.06673519799864204,-0.0012966252852224243,0.4718994621126623,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,NEITHER_STRONG,126,5757,678,-0.008689192069662835,0.042466610663102866,-0.0027142064084376156,0.4086035982206775,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,PARENT_ONLY,5,1605,583,-0.00029677959974954663,0.5749628588682254,0.00021748208319084708,0.521543308704562,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
