evaluation_id,signal_id,signal_family,signal_role,registry_class,universe_id,primary_decision_universe,cohort_id,ranking_mode,frequency_id,forward_horizon_sessions,authorised_family_count,scheduled_observation_dates,overlapping_forward_returns,historical_eligibility_warning,status,benchmark_id,top_rank_vs_cross_section_median_observations,top_rank_vs_cross_section_median_hit_rate,top_rank_vs_equal_weight_observations,top_rank_vs_equal_weight_hit_rate,top_rank_vs_benchmark_observations,top_rank_vs_benchmark_hit_rate
A3EVAL-8031DA6BC333DA52,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,126,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,734,0.4673024523160763,734,0.4877384196185286,245,0.3469387755102041
A3EVAL-18FC2D324207EAE9,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,1,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,215,0.49767441860465117,215,0.5116279069767442,89,0.43820224719101125
A3EVAL-2E463D8EAAF82900,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,5,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,210,0.5,210,0.5095238095238095,84,0.47619047619047616
A3EVAL-0E4B756D1FB2F4DC,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,21,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,202,0.37623762376237624,202,0.4207920792079208,80,0.475
A3EVAL-4A5012EB383419A9,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,42,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,190,0.43157894736842106,190,0.4368421052631579,71,0.49295774647887325
A3EVAL-8227F77093B520EA,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,63,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,180,0.4722222222222222,180,0.49444444444444446,63,0.49206349206349204
A3EVAL-0644CCFF2D20BD4B,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,126,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,165,0.4121212121212121,165,0.44242424242424244,55,0.34545454545454546
A3EVAL-4C0F92F4E21C1B04,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,1,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,811,0.4870530209617756,811,0.4919852034525277,310,0.5548387096774193
A3EVAL-6EFD4484B65F9487,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,5,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,807,0.46096654275092935,807,0.47335811648079307,308,0.5064935064935064
A3EVAL-E77CFE1BA1D02227,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,21,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,794,0.4634760705289673,794,0.4836272040302267,299,0.5250836120401338
A3EVAL-9C065E0950698E54,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,42,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,775,0.47483870967741937,775,0.49806451612903224,287,0.519163763066202
A3EVAL-B9C59C51B6997F98,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,63,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,756,0.455026455026455,756,0.4828042328042328,276,0.4746376811594203
A3EVAL-D53737C39FB76DD0,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,126,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,685,0.5007299270072992,685,0.5313868613138686,250,0.508
A3EVAL-58797A9EDE5AA055,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,1,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,187,0.5294117647058824,187,0.5080213903743316,72,0.5694444444444444
A3EVAL-C613B54C1C3497CD,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,5,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,186,0.5268817204301075,186,0.543010752688172,71,0.5211267605633803
A3EVAL-163929FD130A778C,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,21,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,184,0.42391304347826086,184,0.44565217391304346,70,0.5428571428571428
A3EVAL-CBCBE0C2DA866089,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,42,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,179,0.4692737430167598,179,0.4748603351955307,67,0.5074626865671642
A3EVAL-FFABEC0FDA12EA49,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,63,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,175,0.4857142857142857,175,0.5142857142857142,65,0.49230769230769234
A3EVAL-8A9EE9CB4D66C566,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,126,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,159,0.49056603773584906,159,0.5157232704402516,59,0.4915254237288136
A3EVAL-62487E2D5C7862F0,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,1,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,811,0.47348951911220716,811,0.47718865598027127,310,0.5387096774193548
A3EVAL-7DEFABC9EB501220,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,5,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,807,0.46096654275092935,807,0.4758364312267658,307,0.48859934853420195
