signal_id,signal_family,registry_class,universe_id,cohort_id,frequency_id,authorised_family_count,historical_eligibility_warning,persistence_horizon_sessions,date_pair_count,rank_autocorrelation_mean,rank_autocorrelation_median,rank_autocorrelation_valid_dates,mean_comparable_family_count,leader_observation_count,probability_leader_remains_above_median,probability_leader_remains_top_bucket,average_signed_rank_change,average_absolute_rank_change,status
MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,1360,0.22797226541886306,0.2737417737983167,399,4.55,1262,0.6418383518225039,0.40570522979397783,-0.0007001147365738933,0.2661471340043663,TESTED
MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,314,0.4666494104279382,0.5398022082232609,112,5.875796178343949,389,0.7455012853470437,0.5475578406169666,-0.00041124519527995114,0.21342664601354386,TESTED
MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,313,0.3595485768518738,0.3999999999999999,102,5.18849840255591,338,0.7248520710059172,0.47633136094674555,-0.0010886522569106066,0.23684142641799916,TESTED
MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,312,0.24331986642783973,0.25061859881999127,92,4.512820512820513,290,0.6758620689655173,0.42758620689655175,-0.0018988106882630446,0.26215413673603727,TESTED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,1369,0.7736821868927511,0.8164209931944486,338,4.054784514243973,1097,0.9015496809480401,0.7338195077484048,-4.0952341725973165e-05,0.12285328966922889,TESTED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,1365,0.621691508409927,0.7,330,3.9721611721611723,1073,0.83690587138863,0.625349487418453,0.000717983911512056,0.1704909368157681,TESTED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,1360,0.5045458962279253,0.5849624060150377,321,3.8801470588235296,1044,0.789272030651341,0.5680076628352491,0.002727757608362794,0.19930398601487753,TESTED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,314,0.7645048385161213,0.7977978543195934,78,4.044585987261146,249,0.8755020080321285,0.7108433734939759,-0.0001674540014049045,0.12304819262846858,TESTED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,313,0.640276875826708,0.6981804286835886,76,3.9552715654952078,243,0.823045267489712,0.6131687242798354,0.0016053195284653206,0.1666267076510053,TESTED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,312,0.5167504310183019,0.5710118967408232,74,3.8685897435897436,237,0.7679324894514767,0.569620253164557,0.0030151289019193215,0.19409092036143727,TESTED
ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,1369,0.5892402865427429,0.6614378277661476,364,5.636961285609934,621,0.9082125603864735,0.5072463768115942,-0.0002468324328983396,0.10418217353488572,TESTED
ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,1365,0.44401383190567173,0.49099025303098276,308,4.863736263736263,515,0.9184466019417475,0.40388349514563104,-0.0012784925640679122,0.12304595195555042,TESTED
ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,1360,0.32516748109083454,0.3429971702850176,289,4.5926470588235295,491,0.8757637474541752,0.36863543788187375,-0.0012156181683087275,0.13821532118984134,TESTED
ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,314,0.6314592824327161,0.6892024376045109,88,5.920382165605096,182,0.9120879120879121,0.510989010989011,-0.0003000755603542309,0.10096004218550596,TESTED
ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,313,0.4345115909625225,0.4879500364742666,75,5.2300319488817895,159,0.9182389937106918,0.3710691823899371,-0.001686958789165982,0.13008132971538428,TESTED
ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,312,0.32417385027223344,0.3508232077228118,67,4.55448717948718,140,0.8928571428571429,0.32857142857142857,-0.0008959861032607518,0.1430933838647743,TESTED
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,1369,0.7465555095896093,0.8297066888707592,268,4.097881665449233,429,0.9463869463869464,0.5594405594405595,-5.675647004019066e-05,0.06975649137167572,TESTED
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,1365,0.6614543171023525,0.7416198487095663,261,4.016849816849817,429,0.951048951048951,0.4428904428904429,-4.613185278133917e-05,0.0871442916918194,TESTED
