module_id,date,normalised_value,drawdown
A4_BASELINE_MONTHLY,2021-10-18,1.0440192027839428,-0.01238499646142932
A4_BASELINE_MONTHLY,2021-10-19,1.0406526055696628,-0.015569709837225498
A4_BASELINE_MONTHLY,2021-10-20,1.0363508424625272,-0.019639065817409485
A4_BASELINE_MONTHLY,2021-10-21,1.0215752213554095,-0.03361641896673717
A4_BASELINE_MONTHLY,2021-10-22,1.032797212069676,-0.023000707714083357
A4_BASELINE_MONTHLY,2021-10-25,1.064405819248194,0.0
A4_BASELINE_MONTHLY,2021-10-26,1.0634706533553386,-0.0008785802143733701
A4_BASELINE_MONTHLY,2021-10-27,1.052435695819643,-0.011245826743981557
A4_BASELINE_MONTHLY,2021-10-28,1.0189567568554139,-0.042698998418555734
A4_BASELINE_MONTHLY,2021-10-29,1.0314879798196785,-0.030926023545949644
A4_BASELINE_MONTHLY,2021-11-01,1.0539319612482119,-0.009840098400983877
A4_BASELINE_MONTHLY,2021-11-02,1.0458895345696542,-0.01739588824459659
A4_BASELINE_MONTHLY,2021-11-03,1.0311139134625364,-0.031277455631698925
A4_BASELINE_MONTHLY,2021-11-04,1.0464506341053674,-0.016868740115972503
A4_BASELINE_MONTHLY,2021-11-05,1.0644058192481942,0.0
A4_BASELINE_MONTHLY,2021-11-08,1.082361004391021,0.0
A4_BASELINE_MONTHLY,2021-11-09,1.0673983501053321,-0.013824088474166163
A4_BASELINE_MONTHLY,2021-11-10,1.0593559234267744,-0.02125453602903049
A4_BASELINE_MONTHLY,2021-11-11,1.05692449210535,-0.023500950406082466
A4_BASELINE_MONTHLY,2021-11-12,1.0451414018553702,-0.03438742007948825
A4_BASELINE_MONTHLY,2021-11-15,1.0430840368910876,-0.03628823224468636
A4_BASELINE_MONTHLY,2021-11-16,1.045515468212512,-0.03404181786763438
A4_BASELINE_MONTHLY,2021-11-17,1.0372860083553832,-0.04164506652842581
A4_BASELINE_MONTHLY,2021-11-18,1.0256899512839743,-0.05235873509590461
A4_BASELINE_MONTHLY,2021-11-19,0.9875351828554677,-0.08761016070502836
A4_BASELINE_MONTHLY,2021-11-22,1.001936737605443,-0.07430447554864361
A4_BASELINE_MONTHLY,2021-11-23,1.0311139134625367,-0.047347503024019244
A4_BASELINE_MONTHLY,2021-11-24,1.0602910893196298,-0.02039053049939532
A4_BASELINE_MONTHLY,2021-11-25,1.0614132883910563,-0.01935372386383294
A4_BASELINE_MONTHLY,2021-11-26,0.9804279220697651,-0.09417660273025763
A4_BASELINE_MONTHLY,2021-11-29,1.0109143301768562,-0.06601002246414411
A4_BASELINE_MONTHLY,2021-11-30,1.0023108039625852,-0.07395887333678952
A4_BASELINE_MONTHLY,2021-12-01,1.011868384614852,-0.065128565691288
A4_BASELINE_MONTHLY,2021-12-02,0.9745941168153526,-0.09956649134481921
A4_BASELINE_MONTHLY,2021-12-03,0.9739157450403071,-0.10019324320699219
A4_BASELINE_MONTHLY,2021-12-06,0.954093721773478,-0.11850693261968659
A4_BASELINE_MONTHLY,2021-12-07,1.014907490167056,-0.062320717348752774
A4_BASELINE_MONTHLY,2021-12-08,1.0115291987273294,-0.06544194162237427
A4_BASELINE_MONTHLY,2021-12-09,1.0102900396182461,-0.06658680835727704
A4_BASELINE_MONTHLY,2021-12-10,0.9895680431298567,-0.08573198857378761
A4_BASELINE_MONTHLY,2021-12-13,0.9797723546981997,-0.0947822854635656
A4_BASELINE_MONTHLY,2021-12-14,0.9565720399916439,-0.1162171991498816
A4_BASELINE_MONTHLY,2021-12-15,0.9669330382358388,-0.1066446090416262
A4_BASELINE_MONTHLY,2021-12-16,0.9769593730710109,-0.09738121651870968
