signal_id,signal_family,registry_class,cohort_id,frequency_id,forward_horizon_sessions,primary_ic_mean,all_ready_ic_mean,experimental_only_ic_mean,ic_mean_change_with_experimental,primary_spread_mean,all_ready_spread_mean,experimental_only_spread_mean,spread_mean_change_with_experimental,primary_monotonicity,all_ready_monotonicity,experimental_effect,primary_decision_affected,primary_status,all_ready_status,experimental_only_status,historical_eligibility_warning
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,MONTH_END,63,-0.06057359055976725,-0.03121611246589219,0.11268731268731266,0.02935747809387506,-0.00024506309777065497,0.005718326360900775,0.06612320466097758,0.005963389458671429,0.47863247863247865,0.4925373134328358,STRENGTHENS,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,MONTH_END,126,0.03962725725486128,0.05832723387828493,,0.018699976623423653,0.014621027131036574,0.0242670738344712,,0.009646046703434627,0.4973404255319149,0.5504587155963303,STRENGTHENS,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,WEEKLY_WEDNESDAY,1,-0.020039834550250456,-0.021536959676483974,-0.14511394216622966,-0.0014971251262335186,-0.0007283680072644101,-0.0009101945766629709,-0.003512774490817824,-0.0001818265693985608,0.4898373983739837,0.4863207547169811,LEAVES_QUALITATIVELY_UNCHANGED,False,TESTED,TESTED,TESTED,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,WEEKLY_WEDNESDAY,5,0.00888676154145963,0.007820903367009156,-0.0256266077075198,-0.0010658581744504743,-4.378471238592596e-05,4.693312684943029e-05,-0.001569799416964321,9.071783923535625e-05,0.5108471074380165,0.5086206896551724,LEAVES_QUALITATIVELY_UNCHANGED,False,TESTED,TESTED,TESTED,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,WEEKLY_WEDNESDAY,21,-0.030968828704694754,-0.0066054895139486735,-0.173163186672255,0.02436333919074608,0.001032196049143069,0.001994457274638281,-0.004132603538754392,0.0009622612254952122,0.5153508771929824,0.49139676113360325,STRENGTHENS,False,TESTED,TESTED,TESTED,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,WEEKLY_WEDNESDAY,42,-0.04509207653422819,-0.009646534806064396,-0.2859890109890109,0.0354455417281638,0.0036021907610707575,0.006461459466621547,-0.044727708733304596,0.0028592687055507895,0.514218009478673,0.5114628820960698,STRENGTHENS,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,WEEKLY_WEDNESDAY,63,-0.03503241673063566,0.007414163211242484,,0.04244657994187814,0.004913900798884614,0.009449594811110507,,0.004535694012225893,0.5177261613691931,0.5136054421768708,DESTABILISES,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,WEEKLY_WEDNESDAY,126,-0.029270650620376197,0.0012611392308098295,,0.030531789851186028,0.0050884255732899075,0.013502585682488948,,0.00841416010919904,0.5185897435897436,0.5128361858190709,DESTABILISES,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,MONTH_END,1,-0.0190421405205975,-0.020838011598154908,-0.1285469443986084,-0.001795871077557406,-0.0014428762569660618,-0.0020166016760665467,-0.004071628605544586,-0.000573725419100485,0.4849137931034483,0.4451219512195122,LEAVES_QUALITATIVELY_UNCHANGED,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,MONTH_END,5,0.022130146701089,0.04113508951597003,-0.2999388487192269,0.01900494281488103,-0.00038737163245913597,-0.00012951237954391014,-0.013662228569262889,0.0002578592529152258,0.509009009009009,0.5190677966101694,STRENGTHENS,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,MONTH_END,21,-0.06253651669803817,-0.04296697728341014,-0.15695097231426855,0.01956953941462803,-0.0022476971733482553,-0.000501618564942571,-0.011173690832827057,0.0017460786084056842,0.5092592592592593,0.48478260869565215,STRENGTHENS,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,MONTH_END,42,-0.05713826198362407,-0.04536334469094083,-0.21950549450549434,0.011774917292683235,0.0015177583247963696,0.003755038592765162,-0.041983627656033036,0.0022372802679687925,0.49504950495049505,0.5115740740740741,STRENGTHENS,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,MONTH_END,63,-0.04825922342064812,-0.02752082654270832,,0.020738396877939796,0.0022408199034273588,0.005810307049799537,,0.003569487146372178,0.5026595744680851,0.5025,STRENGTHENS,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,MONTH_END,126,-0.029530070102384596,-0.005231070126223304,,0.024298999976161292,0.0016266053663151956,0.009273651948134903,,0.007647046581819707,0.525,0.5268817204301075,STRENGTHENS,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
