analysis_context_id,robustness_variant_id,score_column,forward_horizon_sessions,observation_count,mean_top3_advantage_vs_global,median_top3_advantage_vs_global,positive_frequency,hac_t_statistic,hac_p_value,neighbourhood_not_optimisation_grid,warning
ALL_EQUITY_OPPORTUNITIES,MH_60D_CENTRAL,MH_LEVEL_60D_CENTERED,21,160,-0.0031911566470504637,-0.0031697594137764518,0.44375,-0.9506676727641586,0.3417731035878222,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_CENTRAL,MH_LEVEL_60D_CENTERED,42,156,-0.007472387537070906,-0.006061943852630924,0.391025641025641,-1.1952470691973465,0.23199051332767506,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_CENTRAL,MH_LEVEL_60D_CENTERED,63,149,-0.012898748305741952,-0.010256947169389075,0.38926174496644295,-1.3614909517587412,0.173358591030918,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_60D_NEIGHBOUR,10,168,-0.0004116848616107815,-0.0012046836074194878,0.4523809523809524,-0.24375439652922826,0.807421041369969,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_60D_NEIGHBOUR,21,161,-0.0005673180539964062,-0.0008395370765784671,0.484472049689441,-0.153972103231891,0.8776317316515131,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_60D_NEIGHBOUR,42,157,-0.004231073830305091,-0.006160026372623695,0.4140127388535032,-0.6177514115022638,0.5367392166347198,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_60D_NEIGHBOUR,63,152,-0.008917361939302914,-0.009385430258733563,0.3881578947368421,-0.8917748497932939,0.37251362475409255,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS42_NEIGHBOUR_32,RANK_RS_32,10,404,-0.0006507915904564085,0.00017517046680748383,0.5024752475247525,-0.42477472448678505,0.6710009047866954,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS42_NEIGHBOUR_32,RANK_RS_32,21,313,-0.0012293242322320775,-0.0016656084436657004,0.48562300319488816,-0.32684903879024896,0.7437820669936176,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS42_NEIGHBOUR_32,RANK_RS_32,42,214,0.005784353978617175,0.006809206922642197,0.5560747663551402,0.7217279453155017,0.4704617573364136,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS42_NEIGHBOUR_32,RANK_RS_32,63,169,0.012068498815745806,0.009533685000445713,0.5502958579881657,0.8878491339896681,0.3746219091371229,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS42_CENTRAL_42,RANK_RS_42,10,349,-4.466985210587588e-05,-5.4417705966924856e-05,0.498567335243553,-0.02492490782905061,0.980114859829051,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS42_CENTRAL_42,RANK_RS_42,21,270,0.002108254908280891,0.002389138255898926,0.5296296296296297,0.4812298830542876,0.6303531244736986,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
