economic_exposure_family_id,audit_scope,before_valid_return_count,after_valid_return_count,before_first_valid_date,after_first_valid_date,before_history_sha256,after_history_sha256,overlap_valid_observations,max_absolute_return_difference_on_overlap,audit_result,warning
EUROPE_EX_UK,UNAFFECTED_REGRESSION_CONTROL,2231,2231,2017-08-16,2017-08-16,06c33d5c5374e96f586c8b5ee37a0f2e4f1881e8f6980d1c85ba22b13bcfcacc,06c33d5c5374e96f586c8b5ee37a0f2e4f1881e8f6980d1c85ba22b13bcfcacc,2231,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_FINANCIALS,BLOCKING_REMEDIATION,2915,2913,2014-12-12,2014-12-12,c85c041e0465b05bfc750d11272a65794ada01e6c0c6b310a4cc50e5f7bc529c,357d5dab7add3fd77c436d0fb0a3c9e8e5a35fccf455e190af6bc7c4c8c50d28,2913,0.04341085271317824,INTENTIONALLY_REMEDIATED,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_HEALTHCARE,BLOCKING_REMEDIATION,2915,2831,2014-12-12,2014-12-12,585164ac36dc8f7f7b71ef712af0c6ed63fb93a2a4dd578b7e6bad1de537200e,aafaef2e912344b669ee6956309ca62b580e69414908a1325443d02a3e99cb16,2831,0.04256418551796737,INTENTIONALLY_REMEDIATED,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_INDUSTRIALS,BLOCKING_REMEDIATION,2546,2910,2016-05-09,2014-12-12,2a4ab3dc768f93ab0688a1c54ca10b430bb1c3c1c954b52cf165f8d76724e8aa,f54190ea96399ed4f5c171c4fb8be7524f614aa46dcc35b0feb3ec4cac954ab4,2543,0.06292460635950192,INTENTIONALLY_REMEDIATED,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_INFRASTRUCTURE,UNAFFECTED_REGRESSION_CONTROL,131,131,2026-02-12,2026-02-12,67f0d6d6dcc98c3878cd4e00249546e5185c280ae20a218b6efba3eb218f3096,67f0d6d6dcc98c3878cd4e00249546e5185c280ae20a218b6efba3eb218f3096,131,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_MATERIALS,BLOCKING_REMEDIATION,2550,866,2016-05-09,2017-01-04,0fe9ee4b4ac36b521ee9ebb3c61e9bf9a46b11097afffd58ec2c9a07ec198169,e619a922eb86300501f90ccc7f7cf31d9bcff4d8454b0793c8595c921f4bbb1c,866,0.03133522791182142,INTENTIONALLY_REMEDIATED,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_TECHNOLOGY,BLOCKING_REMEDIATION,2568,2906,2016-05-09,2014-12-12,9f4c38638b5c2f4ef5d501f02e595e439fa45601b74309628325cb4c4c01d3fe,727ef64907be1fe2211067062c52944a980b45d15b0a7d15bfac953ae5a20bcc,2552,0.056026548131820064,INTENTIONALLY_REMEDIATED,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_UTILITIES,BLOCKING_REMEDIATION,2545,2898,2016-05-09,2014-12-12,d0775f6bbd6cdb6af523f5d36b859d603c3468a4207d70d07e3a7abd1f2fcecc,5d8753a06008341bf7cabc86e2261496221a0f2141617771439bcc933768ee66,2538,0.0969040867726465,INTENTIONALLY_REMEDIATED,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROZONE,UNAFFECTED_REGRESSION_CONTROL,3415,3415,2011-03-16,2011-03-16,91010ab3e856faa27e209a1acbaaf1255dc30898c08cd89f2bf140cec4ae27b5,91010ab3e856faa27e209a1acbaaf1255dc30898c08cd89f2bf140cec4ae27b5,3415,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROZONE_USD_HEDGED,UNAFFECTED_REGRESSION_CONTROL,2525,2525,2015-07-22,2015-07-22,1bee3904e007f0f114425a1bb72c1b18e97ee4bde31cd53ebc14ae78f863d398,1bee3904e007f0f114425a1bb72c1b18e97ee4bde31cd53ebc14ae78f863d398,2525,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUR_OVERNIGHT_CASH,UNAFFECTED_REGRESSION_CONTROL,2863,2863,2015-03-04,2015-03-04,31e1015052d4e57404ea573aee5b2f419881aaeca0adc4d4a6ff0c45a0033bb3,31e1015052d4e57404ea573aee5b2f419881aaeca0adc4d4a6ff0c45a0033bb3,2863,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GBP_CORPORATE_IG,UNAFFECTED_REGRESSION_CONTROL,5620,5620,2004-04-14,2004-04-14,ec498e2c2d7ba13e6055d7c59145ef6485340a49a3e7048b1fc9ea204083030e,ec498e2c2d7ba13e6055d7c59145ef6485340a49a3e7048b1fc9ea204083030e,5620,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GBP_OVERNIGHT_CASH,UNAFFECTED_REGRESSION_CONTROL,0,0,,,1fd021aa0b840589aefd912429254f527ec4ec712969a419cb10d73b8a8beec7,1fd021aa0b840589aefd912429254f527ec4ec712969a419cb10d73b8a8beec7,0,,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_AEROSPACE_DEFENCE,UNAFFECTED_REGRESSION_CONTROL,484,484,2024-09-17,2024-09-17,2c1b2edc32f10cdb2635931de71758df2a050017c38280b4151e9b19568d7b71,2c1b2edc32f10cdb2635931de71758df2a050017c38280b4151e9b19568d7b71,484,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_AGGREGATE_BONDS_GBP_HEDGED,UNAFFECTED_REGRESSION_CONTROL,2177,2177,2017-11-28,2017-11-28,000b82ec4b3691ab513cc152d69bade26e1a0ad77180d2a5428cca6906b2f630,000b82ec4b3691ab513cc152d69bade26e1a0ad77180d2a5428cca6906b2f630,2177,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_AGRIBUSINESS,UNAFFECTED_REGRESSION_CONTROL,3620,3620,2011-10-12,2011-10-12,6cbf1471b2136349f8cfadf1a4a3b34fa4414616b7772939c7752c7c2c5a4ce5,6cbf1471b2136349f8cfadf1a4a3b34fa4414616b7772939c7752c7c2c5a4ce5,3620,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
