module_id,date,portfolio_value,invested_fraction,cash_fraction,cash_value,cash_return_contribution,cumulative_cash_return_contribution,data_valid,warning
VOL_TARGET_0_125,2025-12-22,1.510255260111807,0.2641818459326033,0.7358181540673967,1.111273237666046,0.0002233436234429129,0.07894203836421171,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2025-12-23,1.5039991476480865,0.26104709651914276,0.7389529034808573,1.1113845369872881,7.369570176763956e-05,0.07901573406597935,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2025-12-24,1.5062754280330632,0.2620898697014529,0.737910130298547,1.1114958973653775,7.404284654248958e-05,0.07908977691252184,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2025-12-29,1.4983000949012273,0.2577902785898832,0.7422097214101168,1.1120528960253915,0.0003697853989036807,0.07945956231142552,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2025-12-30,1.5028050451931088,0.25994104442021165,0.7400589555797884,1.1121643321856487,7.437506053456062e-05,0.07953393737196009,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2025-12-31,1.4920282271814926,0.2545209480202282,0.7454790519797718,1.1122757883263188,7.416540224335916e-05,0.07960810277420345,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-02,1.480761853905267,0.24464872922870776,0.7553512707712924,1.1184953480569981,0.00014943646381025975,0.07975753923801371,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-05,1.5060259828761606,0.2570966596263508,0.7429033403736491,1.1188317333682078,0.00022717043278956716,0.07998470967080328,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-06,1.5142803261560305,0.26107218756519557,0.7389278124348044,1.1189438488195378,7.444456643160105e-05,0.08005915423723488,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-07,1.5059996771917568,0.2569347957248279,0.7430652042751721,1.1190559577708359,7.403447655077298e-05,0.08013318871378565,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-08,1.5081160469400317,0.2579032037397602,0.7420967962602397,1.1191680868228548,7.445489777796535e-05,0.08020764361156361,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-09,1.5234478929709394,0.2652979893629223,0.7347020106370777,1.1192802300665687,7.435982392829126e-05,0.08028200343549191,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-12,1.5477726193463592,0.2766271436682342,0.7233728563317658,1.1196167006086748,0.0002208612080915315,0.08050286464358344,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-13,1.5506406296268067,0.27789272476288984,0.72210727523711,1.1197288799317702,7.247790902435548e-05,0.0805753425526078,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-14,1.54768383845503,0.2764406692751842,0.7235593307248158,1.1198410823261356,7.235873497806075e-05,0.08064770128758586,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-15,1.5504266120901165,0.2776483057539971,0.7223516942460029,1.1199532900473859,7.250041543518571e-05,0.08072020170302105,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-16,1.5573657492997734,0.2807948403327686,0.7192051596672314,1.120065482385421,7.236223705159502e-05,0.08079256394007264,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-19,1.5825049078809803,0.29200714843234776,0.7079928515676522,1.12040216235046,0.00021618554613162254,0.08100874948620426,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
