candidate_id,control_id,diagnostic,period_start,period_end,months,relative_return,m2_allocation,notes,value,unit,ii_plan,notional_gbp,subscription_treatment
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2021-05-31,3.0,-1.3687588809041529e-05,1.0,Compounded candidate return minus compounded control return,-1.3687588809041529e-05,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2021-06-30,3.0,-0.04609651324062103,1.0,Compounded candidate return minus compounded control return,-0.04609651324062103,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2021-07-31,3.0,-0.06997499210472446,1.0,Compounded candidate return minus compounded control return,-0.06997499210472446,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2021-08-31,3.0,-0.07891485482363425,1.0,Compounded candidate return minus compounded control return,-0.07891485482363425,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2021-09-30,3.0,-0.014377979103775917,1.0,Compounded candidate return minus compounded control return,-0.014377979103775917,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2021-10-31,3.0,0.02743342110218694,1.0,Compounded candidate return minus compounded control return,0.02743342110218694,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2021-11-30,3.0,0.00991982315608042,1.0,Compounded candidate return minus compounded control return,0.00991982315608042,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2021-12-31,3.0,-0.03065152787517933,1.0,Compounded candidate return minus compounded control return,-0.03065152787517933,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2022-01-31,3.0,-0.029645499543591747,1.0,Compounded candidate return minus compounded control return,-0.029645499543591747,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2022-02-28,3.0,-0.015854792150761687,1.0,Compounded candidate return minus compounded control return,-0.015854792150761687,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
